timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
3782.256000,-0.200011,0.109996,0.200002,1.350279,2.819918,0.000275
3782.272000,-0.200006,0.109996,0.199992,1.350243,2.819887,0.000308
3782.280000,-0.200006,0.109998,0.199998,1.350262,2.819926,0.000317
3782.288000,-0.200009,0.110002,0.199997,1.350228,2.819899,0.000324
3782.296000,-0.200000,0.110000,0.199988,1.350249,2.819855,0.000307
3782.304000,-0.199997,0.110007,0.199993,1.350308,2.819850,0.000332
3782.312000,-0.200001,0.109998,0.199997,1.350233,2.819952,0.000309
3782.320000,-0.199999,0.110004,0.199984,1.350313,2.819859,0.000367
3782.328000,-0.200006,0.109994,0.199990,1.350176,2.819919,0.000307
3782.368000,-0.200137,0.110000,0.200059,1.350389,2.820155,0.000132
3782.376000,-0.200173,0.110000,0.200078,1.350488,2.820191,0.000031
3782.384000,-0.200198,0.110004,0.200060,1.350363,2.820144,0.000102
3782.392000,-0.200245,0.109997,0.200058,1.350402,2.820185,0.000060
3782.400000,-0.200280,0.110002,0.200041,1.350362,2.820101,0.000148
3782.408000,-0.200327,0.110003,0.200053,1.350404,2.820146,0.000081
3782.416000,-0.200389,0.109993,0.200038,1.350365,2.820151,0.000087
3782.424000,-0.200439,0.109992,0.200007,1.350232,2.820047,0.000199
3782.432000,-0.200506,0.109997,0.200011,1.350355,2.820004,0.000205
3782.440000,-0.200584,0.109998,0.199994,1.350237,2.820017,0.000251
3782.448000,-0.200664,0.109989,0.199994,1.350193,2.819972,0.000272
3782.456000,-0.200750,0.109998,0.199995,1.350252,2.820007,0.000244
3782.464000,-0.200847,0.109988,0.199994,1.350289,2.819916,0.000248
3782.472000,-0.200949,0.109993,0.200001,1.350373,2.819965,0.000203
3782.480000,-0.201051,0.109990,0.199979,1.350227,2.819919,0.000297
3782.488000,-0.201156,0.109991,0.199996,1.350236,2.819985,0.000242
3782.496000,-0.201283,0.109993,0.200006,1.350321,2.819995,0.000263
