timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
11957.096000,-0.200007,0.110060,0.200020,1.350150,2.819869,0.000633
11957.112000,-0.200000,0.110055,0.200012,1.350184,2.819853,0.000634
11957.120000,-0.200006,0.110055,0.200028,1.350202,2.819892,0.000601
11957.128000,-0.199992,0.110068,0.200021,1.350314,2.819820,0.000592
11957.136000,-0.199999,0.110064,0.200021,1.350211,2.819822,0.000582
11957.144000,-0.200008,0.110057,0.200026,1.350248,2.819857,0.000609
11957.152000,-0.200000,0.110064,0.200020,1.350253,2.819825,0.000608
11957.160000,-0.199994,0.110062,0.200021,1.350232,2.819824,0.000575
11957.168000,-0.200008,0.110063,0.200034,1.350242,2.819890,0.000609
11957.176000,-0.200024,0.110065,0.200041,1.350289,2.819903,0.000584
11957.184000,-0.200053,0.110073,0.200076,1.350441,2.820003,0.000443
11957.192000,-0.200112,0.110056,0.200109,1.350370,2.820205,0.000284
11957.200000,-0.200132,0.110057,0.200100,1.350360,2.820143,0.000349
11957.208000,-0.200156,0.110064,0.200086,1.350322,2.820149,0.000398
11957.216000,-0.200216,0.110058,0.200098,1.350384,2.820238,0.000314
11957.224000,-0.200283,0.110058,0.200083,1.350351,2.820169,0.000327
11957.232000,-0.200358,0.110067,0.200082,1.350489,2.820155,0.000349
11957.240000,-0.200457,0.110062,0.200056,1.350328,2.820123,0.000419
11957.248000,-0.200602,0.110061,0.200041,1.350329,2.820042,0.000487
11957.256000,-0.200773,0.110058,0.200041,1.350295,2.820061,0.000496
11957.264000,-0.200975,0.110051,0.200062,1.350252,2.820150,0.000396
11957.272000,-0.201162,0.110058,0.200043,1.350131,2.820116,0.000426
11957.280000,-0.201399,0.110056,0.200051,1.350132,2.820124,0.000365
11957.288000,-0.201636,0.110060,0.200043,1.350135,2.820136,0.000447
11957.296000,-0.201895,0.110058,0.200027,1.350116,2.820057,0.000451
11957.304000,-0.202194,0.110064,0.200044,1.350205,2.820076,0.000371
11957.312000,-0.202490,0.110076,0.200043,1.350288,2.820042,0.000475
11957.320000,-0.202828,0.110066,0.200049,1.350207,2.820052,0.000392
11957.328000,-0.203166,0.110069,0.200030,1.350116,2.820042,0.000451
11957.336000,-0.203530,0.110078,0.200048,1.350188,2.820030,0.000435
11957.344000,-0.203919,0.110085,0.200048,1.350196,2.820103,0.000527
11957.352000,-0.204311,0.110096,0.200051,1.350212,2.820058,0.000550
11957.360000,-0.204725,0.110099,0.200042,1.350178,2.819996,0.000579
