timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
4285.328000,-0.199993,0.110008,0.199999,1.350450,2.820099,0.000138
4285.336000,-0.199984,0.110010,0.200000,1.350507,2.820090,0.000105
4285.344000,-0.199991,0.110000,0.200008,1.350394,2.820157,0.000055
4285.352000,-0.199996,0.109997,0.200002,1.350370,2.820149,0.000089
4285.360000,-0.199991,0.110000,0.200010,1.350420,2.820168,0.000081
4285.368000,-0.199983,0.110011,0.199999,1.350471,2.820101,0.000130
4285.376000,-0.199987,0.110006,0.199994,1.350462,2.820082,0.000147
4285.384000,-0.199989,0.110009,0.200001,1.350476,2.820111,0.000080
4285.392000,-0.199992,0.110007,0.199987,1.350441,2.820038,0.000204
4285.400000,-0.200009,0.110006,0.200019,1.350477,2.820158,0.000046
4285.408000,-0.200066,0.109998,0.200060,1.350494,2.820412,-0.000136
4285.416000,-0.200078,0.110012,0.200051,1.350554,2.820323,-0.000012
4285.424000,-0.200102,0.110011,0.200054,1.350559,2.820290,-0.000056
4285.432000,-0.200123,0.110002,0.200042,1.350486,2.820312,0.000036
4285.440000,-0.200178,0.110007,0.200073,1.350563,2.820431,-0.000115
4285.448000,-0.200215,0.110003,0.200081,1.350557,2.820463,-0.000158
4285.456000,-0.200244,0.110006,0.200065,1.350628,2.820393,-0.000176
4285.464000,-0.200288,0.110010,0.200062,1.350624,2.820388,-0.000070
4285.472000,-0.200342,0.109997,0.200047,1.350506,2.820401,-0.000105
4285.480000,-0.200384,0.110001,0.200040,1.350496,2.820381,-0.000049
4285.488000,-0.200441,0.109996,0.200018,1.350462,2.820266,-0.000004
4285.496000,-0.200512,0.110000,0.200008,1.350507,2.820230,0.000002
4285.504000,-0.200576,0.109989,0.199995,1.350399,2.820180,0.000006
4285.512000,-0.200657,0.109996,0.199981,1.350406,2.820109,0.000110
4285.520000,-0.200746,0.110001,0.199999,1.350453,2.820210,0.000041
4285.528000,-0.200841,0.109993,0.199991,1.350409,2.820122,0.000111
4285.536000,-0.200951,0.109993,0.199996,1.350439,2.820185,0.000031
4285.544000,-0.201038,0.109999,0.199987,1.350477,2.820093,0.000076
4285.552000,-0.201151,0.109988,0.199981,1.350358,2.820149,0.000072
4285.560000,-0.201272,0.109988,0.200004,1.350448,2.820169,0.000001
4285.568000,-0.201395,0.109989,0.199994,1.350424,2.820166,0.000046
4285.576000,-0.201518,0.109987,0.200009,1.350406,2.820215,-0.000052
4285.584000,-0.201639,0.109982,0.200002,1.350451,2.820185,0.000011
4285.592000,-0.201764,0.109981,0.199998,1.350415,2.820153,-0.000046
4285.600000,-0.201893,0.109990,0.199998,1.350431,2.820191,0.000040
4285.608000,-0.202032,0.109988,0.200000,1.350480,2.820123,0.000000
4285.616000,-0.202176,0.109983,0.199997,1.350411,2.820112,0.000002
4285.624000,-0.202325,0.109982,0.199982,1.350400,2.820049,0.000061
4285.632000,-0.202476,0.109982,0.199984,1.350391,2.820034,0.000045
4285.640000,-0.202647,0.109980,0.199996,1.350411,2.820080,0.000039
4285.648000,-0.202821,0.109971,0.199998,1.350375,2.820095,-0.000010
4285.656000,-0.202987,0.109973,0.199992,1.350377,2.820061,0.000024
4285.664000,-0.203158,0.109974,0.199990,1.350394,2.820056,0.000033
4285.672000,-0.203338,0.109978,0.200000,1.350402,2.820078,0.000026
4285.680000,-0.203527,0.109972,0.199997,1.350383,2.820085,-0.000025
4285.688000,-0.203708,0.109977,0.199992,1.350427,2.820049,-0.000025
4285.696000,-0.203897,0.109974,0.199985,1.350429,2.820015,-0.000033
4285.704000,-0.204084,0.109974,0.199969,1.350323,2.819968,0.000023
4285.712000,-0.204283,0.109977,0.199971,1.350331,2.819990,0.000056
4285.720000,-0.204492,0.109987,0.199979,1.350340,2.820012,-0.000038
4285.728000,-0.204709,0.109987,0.199991,1.350389,2.820038,0.000020
4285.736000,-0.204925,0.109980,0.199993,1.350339,2.820023,-0.000049
4285.744000,-0.205142,0.109985,0.199993,1.350353,2.820013,-0.000059
4285.752000,-0.205363,0.109987,0.199988,1.350354,2.820020,-0.000036
4285.760000,-0.205593,0.109982,0.199990,1.350307,2.820015,-0.000030
4285.768000,-0.205826,0.109987,0.200008,1.350430,2.820059,-0.000113
4285.776000,-0.206068,0.109993,0.199997,1.350381,2.820138,-0.000040
4285.784000,-0.206316,0.109985,0.199996,1.350351,2.820124,-0.000034
4285.792000,-0.206563,0.109993,0.199996,1.350371,2.820128,0.000005
4285.800000,-0.206810,0.109998,0.200001,1.350350,2.820134,-0.000008
4285.808000,-0.207091,0.109988,0.200027,1.350368,2.820264,-0.000159
4285.816000,-0.207344,0.110003,0.200020,1.350492,2.820183,-0.000096
4285.824000,-0.207600,0.110004,0.200013,1.350506,2.820130,-0.000100
4285.832000,-0.207883,0.109993,0.200026,1.350469,2.820233,-0.000195
4285.840000,-0.208143,0.110004,0.200015,1.350484,2.820138,-0.000109
4285.848000,-0.208422,0.109993,0.199994,1.350394,2.820086,-0.000122
4285.856000,-0.208704,0.110004,0.200006,1.350447,2.820116,-0.000093
4285.864000,-0.209007,0.110004,0.200006,1.350404,2.820120,-0.000142
4285.872000,-0.209304,0.109997,0.200031,1.350448,2.820219,-0.000261
4285.880000,-0.209598,0.110008,0.200012,1.350423,2.820130,-0.000168
4285.888000,-0.209920,0.110003,0.200038,1.350455,2.820252,-0.000154
4285.896000,-0.210226,0.110011,0.200029,1.350479,2.820176,-0.000170
4285.904000,-0.210537,0.110004,0.200016,1.350487,2.820113,-0.000168
4285.904000,-0.210537,0.110004,0.200016,1.350487,2.820113,-0.000168
4285.904000,-0.210537,0.110004,0.200016,1.350487,2.820113,-0.000168
4285.928000,-0.211524,0.110003,0.200008,1.350407,2.820141,-0.000071
4285.936000,-0.211842,0.110004,0.199985,1.350290,2.820118,-0.000037
4285.944000,-0.212183,0.110011,0.199991,1.350275,2.820138,-0.000004
4285.952000,-0.212534,0.110020,0.199997,1.350429,2.820123,0.000041
4285.960000,-0.212890,0.110013,0.200009,1.350390,2.820178,-0.000067
4285.968000,-0.213256,0.110011,0.200016,1.350420,2.820206,-0.000075
4285.976000,-0.213631,0.110016,0.200039,1.350487,2.820269,-0.000183
4285.984000,-0.213979,0.110017,0.200011,1.350412,2.820162,-0.000127
4285.992000,-0.214359,0.110016,0.200039,1.350493,2.820253,-0.000175
4286.000000,-0.214725,0.110015,0.200031,1.350367,2.820302,-0.000168
4286.008000,-0.215098,0.110031,0.200026,1.350435,2.820279,-0.000051
4286.016000,-0.215487,0.110034,0.200048,1.350517,2.820329,-0.000093
4286.024000,-0.215885,0.110024,0.200049,1.350468,2.820322,-0.000178
4286.032000,-0.216281,0.110019,0.200044,1.350431,2.820297,-0.000130
4286.040000,-0.216675,0.110037,0.200051,1.350601,2.820269,-0.000107
4286.048000,-0.217067,0.110037,0.200053,1.350590,2.820213,-0.000151
4286.056000,-0.217459,0.110036,0.200014,1.350525,2.820083,-0.000064
4286.064000,-0.217870,0.110032,0.200007,1.350434,2.820073,-0.000051
4286.072000,-0.218285,0.110026,0.200004,1.350270,2.820130,0.000022
4286.080000,-0.218703,0.110035,0.200005,1.350409,2.820081,-0.000057
4286.088000,-0.219138,0.110035,0.200011,1.350375,2.820150,-0.000077
4286.096000,-0.219564,0.110032,0.200017,1.350365,2.820182,0.000005
4286.104000,-0.219998,0.110040,0.200020,1.350452,2.820157,-0.000032
4286.112000,-0.220434,0.110038,0.200002,1.350366,2.820113,-0.000063
4286.120000,-0.220874,0.110037,0.200000,1.350309,2.820133,-0.000000
4286.128000,-0.221310,0.110038,0.199987,1.350303,2.820128,-0.000021
4286.136000,-0.221772,0.110041,0.199985,1.350384,2.820046,-0.000018
4286.144000,-0.222242,0.110034,0.199985,1.350307,2.820111,-0.000065
4286.152000,-0.222705,0.110043,0.199986,1.350352,2.820086,-0.000028
4286.160000,-0.223173,0.110041,0.199982,1.350308,2.820088,-0.000043
4286.168000,-0.223658,0.110044,0.199987,1.350250,2.820154,0.000069
4286.176000,-0.224137,0.110053,0.199988,1.350306,2.820149,0.000046
4286.184000,-0.224619,0.110058,0.199978,1.350350,2.820120,0.000064
4286.192000,-0.225093,0.110049,0.199989,1.350377,2.820099,-0.000042
4286.200000,-0.225601,0.110050,0.199998,1.350384,2.820124,-0.000091
4286.208000,-0.226092,0.110054,0.199993,1.350368,2.820057,-0.000049
4286.216000,-0.226576,0.110061,0.199979,1.350317,2.820048,0.000027
4286.224000,-0.227086,0.110069,0.200001,1.350337,2.820143,-0.000013
4286.232000,-0.227604,0.110072,0.200018,1.350400,2.820199,-0.000061
4286.240000,-0.228122,0.110065,0.200014,1.350374,2.820197,-0.000061
4286.248000,-0.228670,0.110070,0.200056,1.350530,2.820322,-0.000167
4286.256000,-0.229195,0.110066,0.200052,1.350469,2.820331,-0.000226
4286.264000,-0.229731,0.110074,0.200063,1.350515,2.820395,-0.000318
4286.272000,-0.230282,0.110074,0.200066,1.350451,2.820445,-0.000260
4286.280000,-0.230818,0.110085,0.200053,1.350523,2.820347,-0.000187
4286.288000,-0.231384,0.110081,0.200044,1.350453,2.820341,-0.000174
4286.296000,-0.231933,0.110079,0.200055,1.350514,2.820304,-0.000242
4286.304000,-0.232492,0.110074,0.200044,1.350400,2.820294,-0.000212
4286.312000,-0.233051,0.110081,0.200043,1.350411,2.820285,-0.000223
4286.320000,-0.233609,0.110098,0.200037,1.350413,2.820298,-0.000143
4286.328000,-0.234163,0.110102,0.200038,1.350459,2.820230,-0.000187
4286.336000,-0.234743,0.110101,0.200046,1.350446,2.820304,-0.000164
4286.344000,-0.235321,0.110111,0.200053,1.350493,2.820371,-0.000115
4286.352000,-0.235901,0.110110,0.200043,1.350450,2.820288,-0.000163
4286.360000,-0.236500,0.110102,0.200059,1.350383,2.820375,-0.000216
4286.368000,-0.237089,0.110119,0.200092,1.350522,2.820418,-0.000328
4286.376000,-0.237670,0.110116,0.200072,1.350471,2.820366,-0.000249
4286.384000,-0.238242,0.110130,0.200066,1.350519,2.820344,-0.000244
4286.392000,-0.238828,0.110131,0.200040,1.350389,2.820300,-0.000125
4286.400000,-0.239426,0.110134,0.200064,1.350403,2.820384,-0.000161
4286.408000,-0.240025,0.110151,0.200070,1.350533,2.820318,-0.000217
4286.408000,-0.240025,0.110151,0.200070,1.350533,2.820318,-0.000217
4286.424000,-0.241202,0.110138,0.200078,1.350437,2.820398,-0.000291
4286.432000,-0.241764,0.110166,0.200078,1.350491,2.820392,-0.000238
4286.440000,-0.242335,0.110165,0.200075,1.350468,2.820398,-0.000249
4286.448000,-0.242902,0.110171,0.200071,1.350555,2.820370,-0.000293
4286.456000,-0.243457,0.110181,0.200058,1.350510,2.820286,-0.000257
4286.464000,-0.244010,0.110180,0.200022,1.350414,2.820227,-0.000136
4286.472000,-0.244583,0.110185,0.200056,1.350468,2.820305,-0.000264
4286.480000,-0.245122,0.110193,0.200018,1.350408,2.820228,-0.000142
4286.488000,-0.245670,0.110187,0.200010,1.350305,2.820239,-0.000171
4286.496000,-0.246201,0.110208,0.200025,1.350377,2.820313,-0.000113
4286.504000,-0.246735,0.110219,0.199998,1.350384,2.820162,-0.000026
4286.512000,-0.247275,0.110213,0.200005,1.350435,2.820148,-0.000086
4286.520000,-0.247824,0.110220,0.200033,1.350411,2.820280,-0.000204
4286.528000,-0.248355,0.110238,0.200047,1.350385,2.820367,-0.000123
4286.536000,-0.248874,0.110239,0.200055,1.350414,2.820350,-0.000216
4286.544000,-0.249389,0.110265,0.200059,1.350570,2.820337,-0.000166
4286.552000,-0.249920,0.110258,0.200054,1.350527,2.820342,-0.000168
4286.560000,-0.250430,0.110267,0.200048,1.350490,2.820315,-0.000212
4286.568000,-0.250933,0.110265,0.200040,1.350366,2.820282,-0.000182
4286.648000,-0.255893,0.110363,0.200003,1.350360,2.820171,-0.000050
4286.656000,-0.256357,0.110383,0.200002,1.350312,2.820162,-0.000019
4286.664000,-0.256841,0.110397,0.200003,1.350300,2.820189,-0.000003
4286.672000,-0.257299,0.110408,0.199992,1.350280,2.820154,0.000039
4286.680000,-0.257758,0.110409,0.199995,1.350176,2.820160,-0.000003
4286.688000,-0.258209,0.110434,0.200002,1.350221,2.820172,-0.000036
4286.696000,-0.258655,0.110450,0.199977,1.350248,2.820104,0.000056
4286.704000,-0.259100,0.110462,0.199971,1.350204,2.820062,0.000131
4286.712000,-0.259541,0.110473,0.199967,1.350119,2.820065,0.000106
4286.720000,-0.259977,0.110505,0.199950,1.350195,2.819967,0.000137
4286.728000,-0.260406,0.110514,0.199960,1.350200,2.819986,0.000157
4286.736000,-0.260846,0.110522,0.199972,1.350098,2.820082,0.000075
4286.744000,-0.261268,0.110532,0.199962,1.350089,2.820025,0.000110
4286.752000,-0.261682,0.110564,0.199945,1.350156,2.819912,0.000260
4286.760000,-0.262098,0.110591,0.199937,1.350063,2.819938,0.000285
4286.768000,-0.262517,0.110600,0.199922,1.350126,2.819858,0.000270
4286.776000,-0.262936,0.110610,0.199934,1.350130,2.819872,0.000190
4286.784000,-0.263343,0.110642,0.199951,1.350082,2.819995,0.000217
4286.792000,-0.263744,0.110650,0.199960,1.350126,2.819963,0.000094
4286.800000,-0.264150,0.110675,0.199972,1.350122,2.820003,0.000164
4286.808000,-0.264541,0.110706,0.199973,1.350077,2.820000,0.000131
4286.816000,-0.264941,0.110716,0.199983,1.350157,2.820044,0.000113
4286.824000,-0.265329,0.110752,0.199977,1.350219,2.819960,0.000121
4286.832000,-0.265703,0.110771,0.199954,1.350077,2.819971,0.000257
4286.840000,-0.266087,0.110797,0.199936,1.350151,2.819870,0.000275
4286.848000,-0.266458,0.110817,0.199942,1.350100,2.819941,0.000280
4286.856000,-0.266819,0.110851,0.199933,1.350123,2.819905,0.000291
4286.864000,-0.267187,0.110867,0.199942,1.350165,2.819908,0.000230
4286.872000,-0.267547,0.110905,0.199954,1.350148,2.819964,0.000191
4286.880000,-0.267901,0.110934,0.199961,1.350228,2.819962,0.000120
4286.888000,-0.268245,0.110963,0.199963,1.350321,2.819942,0.000058
4286.896000,-0.268584,0.110995,0.199953,1.350206,2.819966,0.000095
4286.904000,-0.268905,0.111044,0.199929,1.350443,2.819769,0.000106
4286.912000,-0.269236,0.111072,0.199908,1.350273,2.819807,0.000193
4286.920000,-0.269574,0.111119,0.199916,1.350380,2.819862,0.000242
4286.928000,-0.269899,0.111153,0.199924,1.350425,2.819870,0.000197
4286.936000,-0.270207,0.111191,0.199923,1.350283,2.819921,0.000184
4286.944000,-0.270514,0.111222,0.199926,1.350361,2.819914,0.000141
4286.952000,-0.270826,0.111276,0.199947,1.350347,2.820017,0.000071
4286.960000,-0.271139,0.111315,0.199948,1.350399,2.819999,0.000001
4286.968000,-0.271440,0.111355,0.199949,1.350353,2.820034,-0.000053
4286.976000,-0.271731,0.111415,0.199952,1.350420,2.820043,-0.000064
4286.984000,-0.272026,0.111453,0.199966,1.350459,2.820084,-0.000064
