timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
6521.272000,-0.199998,0.110069,0.199994,1.350354,2.820118,0.000482
6521.296000,-0.200005,0.110060,0.199984,1.350341,2.820088,0.000465
6521.296000,-0.200005,0.110060,0.199984,1.350341,2.820088,0.000465
6521.312000,-0.200014,0.110057,0.200000,1.350339,2.820173,0.000450
6521.312000,-0.200014,0.110057,0.200000,1.350339,2.820173,0.000450
6521.328000,-0.200077,0.110060,0.200065,1.350467,2.820403,0.000267
6521.336000,-0.200112,0.110057,0.200070,1.350420,2.820437,0.000257
6521.344000,-0.200117,0.110060,0.200054,1.350444,2.820354,0.000264
6521.352000,-0.200155,0.110059,0.200063,1.350483,2.820394,0.000264
6521.360000,-0.200200,0.110068,0.200077,1.350476,2.820469,0.000211
6521.368000,-0.200244,0.110058,0.200087,1.350411,2.820595,0.000145
6521.376000,-0.200274,0.110060,0.200061,1.350527,2.820443,0.000210
6521.384000,-0.200307,0.110069,0.200044,1.350523,2.820307,0.000238
6521.392000,-0.200364,0.110057,0.200032,1.350423,2.820360,0.000296
6521.400000,-0.200423,0.110057,0.200028,1.350455,2.820338,0.000277
6521.408000,-0.200471,0.110060,0.199994,1.350331,2.820210,0.000422
6521.416000,-0.200545,0.110064,0.199983,1.350415,2.820169,0.000461
6521.424000,-0.200621,0.110064,0.199973,1.350347,2.820116,0.000472
6521.432000,-0.200710,0.110053,0.199963,1.350298,2.820103,0.000494
6521.440000,-0.200807,0.110049,0.199980,1.350250,2.820178,0.000432
6521.448000,-0.200899,0.110057,0.199979,1.350347,2.820166,0.000445
6521.456000,-0.201000,0.110065,0.199974,1.350386,2.820121,0.000498
6521.464000,-0.201116,0.110055,0.199976,1.350319,2.820157,0.000468
6521.464000,-0.201116,0.110055,0.199976,1.350319,2.820157,0.000468
6521.480000,-0.201338,0.110062,0.199987,1.350438,2.820151,0.000400
6521.488000,-0.201473,0.110066,0.199978,1.350388,2.820225,0.000588
6521.496000,-0.201582,0.110079,0.199981,1.350482,2.820165,0.000632
6521.504000,-0.201701,0.110083,0.199968,1.350501,2.820119,0.000609
6521.512000,-0.201836,0.110085,0.199967,1.350506,2.820132,0.000654
6521.520000,-0.201973,0.110087,0.199975,1.350583,2.820122,0.000607
6521.528000,-0.202124,0.110085,0.199972,1.350444,2.820139,0.000674
6521.536000,-0.202268,0.110090,0.199980,1.350484,2.820141,0.000650
6521.544000,-0.202428,0.110086,0.199977,1.350354,2.820177,0.000701
6521.552000,-0.202573,0.110091,0.199975,1.350429,2.820120,0.000685
6521.560000,-0.202735,0.110088,0.199963,1.350351,2.820089,0.000702
6521.568000,-0.202906,0.110088,0.199968,1.350420,2.820065,0.000687
6521.576000,-0.203078,0.110094,0.199974,1.350376,2.820107,0.000662
6521.584000,-0.203262,0.110085,0.199975,1.350282,2.820173,0.000638
6521.616000,-0.203996,0.110110,0.199966,1.350435,2.820075,0.000652
6521.624000,-0.204188,0.110116,0.199963,1.350333,2.820085,0.000667
6521.632000,-0.204394,0.110115,0.199955,1.350343,2.820022,0.000632
6521.640000,-0.204621,0.110108,0.199966,1.350257,2.820109,0.000630
6521.648000,-0.204832,0.110114,0.199975,1.350383,2.820074,0.000622
6521.656000,-0.205043,0.110115,0.199962,1.350321,2.820035,0.000635
6521.664000,-0.205268,0.110124,0.199966,1.350401,2.820035,0.000575
6521.672000,-0.205500,0.110123,0.199978,1.350304,2.820096,0.000530
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.680000,-0.205734,0.110129,0.199978,1.350303,2.820097,0.000536
6521.728000,-0.207243,0.110131,0.199994,1.350194,2.820292,0.000352
6521.744000,-0.207775,0.110151,0.199996,1.350241,2.820272,0.000443
6521.752000,-0.208040,0.110146,0.199985,1.350175,2.820227,0.000480
6521.760000,-0.208321,0.110160,0.199984,1.350256,2.820230,0.000517
6521.768000,-0.208593,0.110174,0.199967,1.350271,2.820135,0.000560
6521.776000,-0.208898,0.110159,0.200002,1.350226,2.820309,0.000398
6521.784000,-0.209188,0.110168,0.199980,1.350285,2.820178,0.000493
6521.792000,-0.209491,0.110171,0.199994,1.350349,2.820232,0.000438
6521.800000,-0.209790,0.110175,0.199995,1.350355,2.820207,0.000373
6521.808000,-0.210103,0.110169,0.199989,1.350134,2.820272,0.000424
6521.816000,-0.210399,0.110185,0.199974,1.350215,2.820186,0.000459
6521.816000,-0.210399,0.110185,0.199974,1.350215,2.820186,0.000459
6521.832000,-0.211044,0.110200,0.199976,1.350242,2.820214,0.000538
6521.840000,-0.211384,0.110193,0.199968,1.350190,2.820156,0.000555
6521.848000,-0.211705,0.110214,0.199962,1.350299,2.820086,0.000630
6521.856000,-0.212045,0.110217,0.199968,1.350222,2.820194,0.000582
6521.864000,-0.212382,0.110222,0.199954,1.350220,2.820112,0.000640
6521.872000,-0.212754,0.110208,0.199981,1.350230,2.820227,0.000475
6521.880000,-0.213107,0.110221,0.199972,1.350305,2.820131,0.000515
6521.888000,-0.213476,0.110226,0.199973,1.350285,2.820140,0.000514
6521.896000,-0.213838,0.110227,0.199978,1.350129,2.820256,0.000506
6521.904000,-0.214209,0.110245,0.199989,1.350252,2.820262,0.000522
6521.912000,-0.214579,0.110247,0.199990,1.350300,2.820239,0.000522
6521.912000,-0.214579,0.110247,0.199990,1.350300,2.820239,0.000522
6521.928000,-0.215340,0.110259,0.200004,1.350260,2.820303,0.000528
6521.936000,-0.215731,0.110257,0.199992,1.350235,2.820256,0.000525
6521.944000,-0.216129,0.110263,0.200010,1.350297,2.820310,0.000424
6521.952000,-0.216503,0.110284,0.199984,1.350380,2.820143,0.000570
6521.960000,-0.216888,0.110288,0.199981,1.350336,2.820145,0.000560
6521.968000,-0.217296,0.110295,0.199971,1.350256,2.820069,0.000570
6521.976000,-0.217712,0.110288,0.199983,1.350192,2.820165,0.000543
6521.984000,-0.218118,0.110302,0.199976,1.350284,2.820106,0.000633
6521.992000,-0.218539,0.110314,0.199968,1.350284,2.820068,0.000695
6522.000000,-0.218966,0.110310,0.199972,1.350189,2.820138,0.000591
6522.008000,-0.219388,0.110323,0.199951,1.350217,2.820034,0.000711
6522.016000,-0.219824,0.110325,0.199971,1.350281,2.820132,0.000618
6522.024000,-0.220258,0.110332,0.199956,1.350310,2.820027,0.000612
6522.032000,-0.220701,0.110338,0.199946,1.350231,2.820045,0.000682
6522.032000,-0.220701,0.110338,0.199946,1.350231,2.820045,0.000682
6522.048000,-0.221603,0.110360,0.199972,1.350358,2.820112,0.000581
6522.056000,-0.222073,0.110359,0.199968,1.350266,2.820190,0.000593
6522.064000,-0.222531,0.110372,0.199951,1.350141,2.820151,0.000651
6522.064000,-0.222531,0.110372,0.199951,1.350141,2.820151,0.000651
6522.080000,-0.223466,0.110392,0.199955,1.350289,2.820089,0.000630
6522.088000,-0.223961,0.110386,0.199960,1.350230,2.820150,0.000600
6522.096000,-0.224428,0.110393,0.199934,1.350110,2.820080,0.000657
6522.104000,-0.224913,0.110425,0.199967,1.350318,2.820134,0.000542
6522.112000,-0.225400,0.110425,0.199964,1.350296,2.820099,0.000585
6522.120000,-0.225892,0.110435,0.199953,1.350210,2.820101,0.000644
6522.128000,-0.226373,0.110441,0.199954,1.350122,2.820188,0.000687
6522.136000,-0.226852,0.110453,0.199936,1.350148,2.820078,0.000661
6522.144000,-0.227339,0.110473,0.199962,1.350227,2.820122,0.000637
