timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
535.536000,-0.325375,-0.285730,0.209384,-1.987672,-2.393901,0.038743
535.552000,-0.325373,-0.285731,0.209407,-1.987691,-2.393922,0.038831
535.560000,-0.325383,-0.285719,0.209406,-1.987681,-2.393851,0.038822
535.568000,-0.325378,-0.285736,0.209389,-1.987710,-2.393888,0.038778
535.576000,-0.325372,-0.285731,0.209411,-1.987647,-2.393897,0.038839
535.584000,-0.325366,-0.285737,0.209393,-1.987680,-2.393912,0.038761
535.592000,-0.325375,-0.285733,0.209386,-1.987620,-2.393897,0.038749
535.600000,-0.325373,-0.285729,0.209411,-1.987683,-2.393913,0.038833
535.608000,-0.325374,-0.285720,0.209384,-1.987711,-2.393864,0.038687
535.648000,-0.325387,-0.285637,0.209294,-1.987710,-2.393791,0.038203
535.656000,-0.325391,-0.285632,0.209306,-1.987715,-2.393854,0.038268
535.664000,-0.325394,-0.285614,0.209297,-1.987651,-2.393868,0.038197
535.672000,-0.325405,-0.285586,0.209312,-1.987742,-2.393798,0.038287
535.680000,-0.325407,-0.285579,0.209316,-1.987716,-2.393823,0.038342
535.688000,-0.325430,-0.285552,0.209316,-1.987649,-2.393888,0.038299
535.696000,-0.325427,-0.285538,0.209309,-1.987657,-2.393873,0.038205
535.704000,-0.325420,-0.285521,0.209323,-1.987567,-2.393967,0.038275
535.712000,-0.325440,-0.285494,0.209321,-1.987516,-2.393992,0.038291
535.720000,-0.325454,-0.285474,0.209324,-1.987605,-2.393952,0.038341
535.728000,-0.325466,-0.285445,0.209305,-1.987549,-2.393973,0.038246
535.736000,-0.325480,-0.285410,0.209297,-1.987450,-2.394031,0.038188
535.744000,-0.325492,-0.285375,0.209288,-1.987481,-2.394013,0.038109
535.752000,-0.325518,-0.285356,0.209308,-1.987490,-2.393986,0.038294
535.760000,-0.325538,-0.285325,0.209299,-1.987411,-2.394064,0.038306
535.768000,-0.325539,-0.285294,0.209282,-1.987436,-2.394068,0.038245
535.776000,-0.325563,-0.285260,0.209316,-1.987464,-2.394068,0.038387
535.784000,-0.325580,-0.285209,0.209304,-1.987371,-2.394103,0.038292
535.792000,-0.325591,-0.285183,0.209290,-1.987413,-2.394096,0.038269
535.800000,-0.325606,-0.285143,0.209284,-1.987496,-2.394022,0.038229
535.808000,-0.325640,-0.285095,0.209290,-1.987396,-2.394043,0.038304
535.816000,-0.325659,-0.285050,0.209296,-1.987512,-2.394007,0.038312
535.824000,-0.325665,-0.285021,0.209313,-1.987464,-2.394035,0.038404
535.832000,-0.325696,-0.284970,0.209310,-1.987427,-2.394077,0.038394
535.840000,-0.325713,-0.284923,0.209284,-1.987568,-2.393954,0.038356
535.848000,-0.325736,-0.284875,0.209299,-1.987502,-2.393991,0.038388
535.856000,-0.325744,-0.284826,0.209275,-1.987432,-2.394060,0.038176
535.864000,-0.325786,-0.284763,0.209288,-1.987609,-2.393918,0.038282
535.872000,-0.325811,-0.284708,0.209302,-1.987534,-2.393968,0.038406
535.880000,-0.325842,-0.284649,0.209308,-1.987611,-2.393915,0.038399
535.888000,-0.325869,-0.284584,0.209289,-1.987647,-2.393903,0.038278
535.896000,-0.325903,-0.284518,0.209299,-1.987616,-2.393948,0.038416
535.904000,-0.325925,-0.284472,0.209323,-1.987741,-2.393863,0.038486
535.912000,-0.325965,-0.284399,0.209345,-1.987653,-2.393872,0.038558
535.920000,-0.325991,-0.284358,0.209346,-1.987681,-2.393870,0.038681
535.928000,-0.326011,-0.284285,0.209360,-1.987658,-2.393930,0.038687
535.936000,-0.326054,-0.284207,0.209335,-1.987715,-2.393884,0.038566
535.944000,-0.326085,-0.284133,0.209339,-1.987765,-2.393825,0.038618
535.952000,-0.326111,-0.284060,0.209322,-1.987616,-2.393968,0.038549
535.960000,-0.326138,-0.283983,0.209328,-1.987723,-2.393867,0.038450
535.968000,-0.326194,-0.283905,0.209311,-1.987724,-2.393864,0.038515
535.976000,-0.326209,-0.283832,0.209309,-1.987660,-2.393876,0.038455
535.984000,-0.326260,-0.283753,0.209303,-1.987676,-2.393897,0.038384
535.992000,-0.326286,-0.283692,0.209325,-1.987671,-2.393911,0.038600
536.000000,-0.326339,-0.283606,0.209329,-1.987665,-2.393875,0.038557
536.008000,-0.326365,-0.283520,0.209352,-1.987703,-2.393859,0.038642
536.016000,-0.326410,-0.283447,0.209360,-1.987779,-2.393830,0.038759
536.024000,-0.326443,-0.283357,0.209358,-1.987684,-2.393864,0.038679
536.032000,-0.326457,-0.283289,0.209336,-1.987656,-2.393890,0.038578
536.040000,-0.326512,-0.283176,0.209320,-1.987673,-2.393880,0.038547
536.048000,-0.326550,-0.283084,0.209316,-1.987757,-2.393841,0.038422
536.056000,-0.326591,-0.282988,0.209290,-1.987778,-2.393840,0.038315
536.064000,-0.326626,-0.282909,0.209297,-1.987750,-2.393892,0.038375
536.064000,-0.326626,-0.282909,0.209297,-1.987750,-2.393892,0.038375
536.080000,-0.326720,-0.282718,0.209303,-1.987643,-2.393904,0.038400
536.088000,-0.326741,-0.282640,0.209320,-1.987556,-2.394032,0.038420
536.096000,-0.326779,-0.282553,0.209320,-1.987538,-2.394039,0.038411
536.104000,-0.326827,-0.282445,0.209308,-1.987562,-2.394009,0.038381
536.112000,-0.326868,-0.282349,0.209314,-1.987605,-2.394001,0.038443
536.120000,-0.326908,-0.282247,0.209294,-1.987566,-2.394015,0.038302
536.128000,-0.326955,-0.282139,0.209297,-1.987645,-2.393960,0.038346
536.136000,-0.327001,-0.282034,0.209295,-1.987609,-2.393947,0.038301
536.144000,-0.327057,-0.281919,0.209281,-1.987651,-2.393882,0.038219
536.144000,-0.327057,-0.281919,0.209281,-1.987651,-2.393882,0.038219
536.160000,-0.327139,-0.281724,0.209295,-1.987550,-2.394018,0.038318
536.168000,-0.327183,-0.281608,0.209297,-1.987529,-2.393994,0.038292
536.176000,-0.327244,-0.281491,0.209294,-1.987596,-2.393920,0.038394
536.184000,-0.327298,-0.281365,0.209312,-1.987614,-2.393972,0.038391
536.192000,-0.327356,-0.281260,0.209316,-1.987672,-2.393891,0.038477
536.200000,-0.327396,-0.281158,0.209312,-1.987736,-2.393909,0.038496
536.208000,-0.327440,-0.281048,0.209318,-1.987657,-2.393901,0.038471
536.216000,-0.327491,-0.280938,0.209305,-1.987680,-2.393983,0.038503
536.224000,-0.327543,-0.280810,0.209300,-1.987745,-2.393917,0.038454
536.232000,-0.327594,-0.280679,0.209301,-1.987670,-2.393946,0.038350
536.240000,-0.327663,-0.280560,0.209324,-1.987742,-2.393907,0.038576
536.248000,-0.327711,-0.280444,0.209316,-1.987706,-2.393923,0.038526
536.256000,-0.327765,-0.280312,0.209297,-1.987733,-2.393899,0.038418
536.264000,-0.327816,-0.280194,0.209295,-1.987695,-2.393938,0.038441
536.272000,-0.327874,-0.280056,0.209293,-1.987730,-2.393894,0.038372
536.280000,-0.327934,-0.279925,0.209296,-1.987669,-2.393875,0.038440
536.288000,-0.327993,-0.279797,0.209324,-1.987704,-2.393909,0.038604
536.296000,-0.328060,-0.279650,0.209299,-1.987755,-2.393798,0.038447
536.304000,-0.328106,-0.279540,0.209299,-1.987751,-2.393876,0.038538
536.312000,-0.328167,-0.279410,0.209323,-1.987646,-2.393892,0.038586
536.320000,-0.328230,-0.279268,0.209314,-1.987721,-2.393865,0.038585
536.328000,-0.328291,-0.279122,0.209303,-1.987663,-2.393852,0.038536
536.336000,-0.328342,-0.279007,0.209291,-1.987591,-2.393943,0.038462
536.344000,-0.328408,-0.278860,0.209287,-1.987674,-2.393895,0.038483
536.344000,-0.328408,-0.278860,0.209287,-1.987674,-2.393895,0.038483
536.360000,-0.328532,-0.278579,0.209285,-1.987751,-2.393930,0.038440
536.368000,-0.328598,-0.278433,0.209287,-1.987704,-2.393928,0.038465
536.376000,-0.328670,-0.278274,0.209259,-1.987720,-2.393892,0.038318
536.384000,-0.328730,-0.278143,0.209267,-1.987699,-2.393920,0.038413
536.392000,-0.328803,-0.277979,0.209277,-1.987729,-2.393836,0.038421
536.400000,-0.328874,-0.277840,0.209306,-1.987678,-2.393911,0.038642
536.408000,-0.328938,-0.277681,0.209285,-1.987771,-2.393848,0.038568
536.416000,-0.328995,-0.277527,0.209264,-1.987757,-2.393837,0.038386
536.424000,-0.329071,-0.277381,0.209260,-1.987763,-2.393809,0.038465
536.432000,-0.329147,-0.277223,0.209272,-1.987769,-2.393841,0.038535
536.440000,-0.329209,-0.277072,0.209285,-1.987753,-2.393816,0.038635
536.448000,-0.329283,-0.276919,0.209265,-1.987718,-2.393922,0.038570
536.456000,-0.329348,-0.276758,0.209274,-1.987757,-2.393878,0.038592
536.464000,-0.329423,-0.276595,0.209277,-1.987738,-2.393881,0.038611
536.472000,-0.329504,-0.276419,0.209262,-1.987831,-2.393818,0.038553
536.480000,-0.329573,-0.276249,0.209292,-1.987822,-2.393833,0.038645
536.480000,-0.329573,-0.276249,0.209292,-1.987822,-2.393833,0.038645
536.496000,-0.329713,-0.275921,0.209256,-1.987810,-2.393760,0.038487
536.504000,-0.329786,-0.275750,0.209255,-1.987818,-2.393769,0.038447
536.512000,-0.329870,-0.275583,0.209265,-1.987801,-2.393773,0.038540
536.520000,-0.329933,-0.275425,0.209292,-1.987756,-2.393833,0.038612
536.528000,-0.330010,-0.275250,0.209265,-1.987748,-2.393761,0.038582
536.536000,-0.330084,-0.275058,0.209252,-1.987840,-2.393727,0.038483
536.544000,-0.330169,-0.274888,0.209258,-1.987763,-2.393808,0.038516
536.552000,-0.330239,-0.274718,0.209239,-1.987735,-2.393891,0.038453
536.560000,-0.330326,-0.274536,0.209266,-1.987827,-2.393852,0.038560
536.568000,-0.330403,-0.274357,0.209257,-1.987777,-2.393847,0.038544
536.576000,-0.330477,-0.274174,0.209243,-1.987758,-2.393826,0.038434
536.584000,-0.330563,-0.273995,0.209270,-1.987821,-2.393781,0.038544
536.592000,-0.330632,-0.273816,0.209254,-1.987769,-2.393805,0.038451
536.600000,-0.330710,-0.273644,0.209257,-1.987729,-2.393841,0.038505
536.608000,-0.330806,-0.273450,0.209273,-1.987674,-2.393858,0.038578
536.616000,-0.330909,-0.273259,0.209292,-1.987676,-2.393850,0.038777
536.624000,-0.330971,-0.273089,0.209297,-1.987629,-2.393968,0.038787
536.632000,-0.331060,-0.272886,0.209316,-1.987661,-2.393914,0.038861
536.640000,-0.331139,-0.272694,0.209293,-1.987672,-2.393929,0.038745
536.648000,-0.331220,-0.272510,0.209281,-1.987650,-2.393961,0.038702
536.656000,-0.331309,-0.272312,0.209286,-1.987652,-2.393899,0.038760
536.664000,-0.331399,-0.272113,0.209276,-1.987673,-2.393863,0.038720
536.672000,-0.331491,-0.271907,0.209283,-1.987654,-2.393865,0.038792
536.680000,-0.331584,-0.271697,0.209264,-1.987679,-2.393837,0.038694
536.688000,-0.331654,-0.271514,0.209246,-1.987575,-2.393919,0.038599
536.696000,-0.331749,-0.271314,0.209262,-1.987697,-2.393885,0.038720
536.704000,-0.331837,-0.271105,0.209261,-1.987688,-2.393964,0.038632
536.712000,-0.331927,-0.270889,0.209247,-1.987767,-2.393880,0.038611
536.720000,-0.332018,-0.270683,0.209252,-1.987715,-2.393905,0.038588
536.728000,-0.332121,-0.270466,0.209244,-1.987722,-2.393851,0.038606
536.736000,-0.332204,-0.270272,0.209257,-1.987697,-2.393904,0.038655
536.744000,-0.332287,-0.270066,0.209250,-1.987638,-2.393889,0.038656
536.744000,-0.332287,-0.270066,0.209250,-1.987638,-2.393889,0.038656
536.760000,-0.332485,-0.269639,0.209268,-1.987658,-2.393873,0.038774
536.768000,-0.332582,-0.269421,0.209250,-1.987618,-2.393913,0.038672
536.776000,-0.332677,-0.269206,0.209238,-1.987644,-2.393887,0.038612
536.784000,-0.332787,-0.268980,0.209239,-1.987645,-2.393884,0.038641
536.792000,-0.332871,-0.268773,0.209253,-1.987634,-2.393955,0.038688
536.800000,-0.332959,-0.268563,0.209219,-1.987525,-2.394003,0.038498
536.808000,-0.333058,-0.268332,0.209217,-1.987532,-2.394009,0.038508
536.816000,-0.333158,-0.268095,0.209203,-1.987543,-2.393962,0.038427
536.824000,-0.333262,-0.267880,0.209205,-1.987553,-2.393908,0.038519
536.832000,-0.333360,-0.267666,0.209219,-1.987519,-2.393952,0.038586
536.840000,-0.333456,-0.267428,0.209202,-1.987546,-2.393923,0.038542
536.848000,-0.333554,-0.267191,0.209159,-1.987626,-2.393907,0.038327
536.880000,-0.333967,-0.266261,0.209201,-1.987611,-2.393928,0.038572
536.888000,-0.334094,-0.266013,0.209194,-1.987677,-2.393825,0.038641
536.896000,-0.334193,-0.265776,0.209196,-1.987618,-2.393899,0.038630
536.904000,-0.334298,-0.265537,0.209182,-1.987668,-2.393868,0.038603
536.912000,-0.334410,-0.265281,0.209177,-1.987724,-2.393877,0.038569
536.920000,-0.334511,-0.265063,0.209174,-1.987695,-2.393928,0.038578
536.928000,-0.334619,-0.264816,0.209174,-1.987695,-2.393893,0.038608
536.936000,-0.334735,-0.264551,0.209163,-1.987691,-2.393887,0.038542
536.944000,-0.334842,-0.264302,0.209170,-1.987674,-2.393864,0.038536
536.952000,-0.334962,-0.264065,0.209162,-1.987638,-2.393874,0.038583
536.960000,-0.335084,-0.263791,0.209156,-1.987693,-2.393821,0.038552
536.968000,-0.335170,-0.263547,0.209128,-1.987687,-2.393846,0.038356
536.976000,-0.335305,-0.263287,0.209137,-1.987740,-2.393846,0.038491
536.984000,-0.335414,-0.263039,0.209149,-1.987733,-2.393863,0.038537
536.992000,-0.335518,-0.262794,0.209158,-1.987697,-2.393903,0.038563
