timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
964.296000,-0.199999,0.109990,0.199954,1.349814,2.819849,0.000241
964.312000,-0.199996,0.109990,0.199952,1.349776,2.819856,0.000249
964.320000,-0.199987,0.110001,0.199947,1.349855,2.819805,0.000341
964.328000,-0.199991,0.109998,0.199959,1.349915,2.819842,0.000276
964.336000,-0.199995,0.109995,0.199968,1.349888,2.819874,0.000201
964.344000,-0.199985,0.109999,0.199946,1.349849,2.819791,0.000291
964.352000,-0.199988,0.110002,0.199956,1.349903,2.819819,0.000275
964.360000,-0.199989,0.110004,0.199949,1.349839,2.819813,0.000299
964.368000,-0.200000,0.110003,0.199958,1.349900,2.819813,0.000257
964.376000,-0.200013,0.109999,0.199949,1.349864,2.819824,0.000282
964.384000,-0.200038,0.109995,0.199967,1.349886,2.819827,0.000189
964.392000,-0.200084,0.109991,0.200015,1.349930,2.820055,0.000100
964.400000,-0.200092,0.109999,0.200009,1.349914,2.820063,0.000056
964.408000,-0.200106,0.109990,0.199991,1.349932,2.819929,0.000164
964.416000,-0.200143,0.109992,0.200012,1.349938,2.820074,0.000123
964.424000,-0.200161,0.109999,0.199999,1.349927,2.820049,0.000121
964.432000,-0.200190,0.109996,0.200005,1.349936,2.820068,0.000104
964.440000,-0.200209,0.109996,0.199984,1.349893,2.819934,0.000166
964.448000,-0.200240,0.110000,0.199972,1.349962,2.819948,0.000175
964.456000,-0.200283,0.109993,0.199965,1.349863,2.819959,0.000197
964.464000,-0.200321,0.109999,0.199981,1.349962,2.819995,0.000138
964.472000,-0.200371,0.109996,0.199980,1.349923,2.820042,0.000053
964.480000,-0.200407,0.109996,0.199961,1.349869,2.819930,0.000208
964.488000,-0.200454,0.109993,0.199936,1.349851,2.819848,0.000205
964.496000,-0.200501,0.109992,0.199918,1.349798,2.819824,0.000278
964.504000,-0.200575,0.109988,0.199928,1.349813,2.819816,0.000275
964.512000,-0.200642,0.109984,0.199908,1.349773,2.819733,0.000321
964.520000,-0.200705,0.109998,0.199922,1.349839,2.819784,0.000259
964.528000,-0.200793,0.109980,0.199937,1.349757,2.819834,0.000249
964.536000,-0.200864,0.109991,0.199933,1.349845,2.819802,0.000279
964.544000,-0.200946,0.109994,0.199945,1.349884,2.819800,0.000242
964.584000,-0.201399,0.109992,0.199938,1.349915,2.819832,0.000248
964.592000,-0.201495,0.109987,0.199951,1.349845,2.819905,0.000194
964.600000,-0.201605,0.109982,0.199966,1.349951,2.819913,0.000107
964.608000,-0.201713,0.109979,0.199955,1.349846,2.819955,0.000170
964.616000,-0.201813,0.109986,0.199952,1.349895,2.819888,0.000172
964.616000,-0.201813,0.109986,0.199952,1.349895,2.819888,0.000172
964.632000,-0.202042,0.109991,0.199957,1.349885,2.819913,0.000187
964.632000,-0.202042,0.109991,0.199957,1.349885,2.819913,0.000187
964.648000,-0.202276,0.109984,0.199938,1.349828,2.819846,0.000301
964.656000,-0.202412,0.109986,0.199965,1.349854,2.819950,0.000297
964.664000,-0.202539,0.109990,0.199954,1.349913,2.819902,0.000367
964.672000,-0.202678,0.109981,0.199965,1.349817,2.819964,0.000285
964.680000,-0.202796,0.109983,0.199956,1.349839,2.819884,0.000347
964.688000,-0.202940,0.109982,0.199969,1.349850,2.819954,0.000308
964.696000,-0.203079,0.109986,0.199950,1.349887,2.819816,0.000341
964.704000,-0.203221,0.109989,0.199971,1.349872,2.819963,0.000278
964.712000,-0.203378,0.109970,0.199961,1.349801,2.819947,0.000306
964.720000,-0.203533,0.109977,0.199990,1.349909,2.820006,0.000200
964.728000,-0.203678,0.109979,0.199982,1.349800,2.820038,0.000183
964.736000,-0.203831,0.109974,0.199967,1.349735,2.820037,0.000218
964.744000,-0.203980,0.109980,0.199958,1.349700,2.820009,0.000302
964.752000,-0.204140,0.109982,0.199967,1.349766,2.819976,0.000211
964.760000,-0.204315,0.109983,0.199969,1.349794,2.819953,0.000228
964.768000,-0.204473,0.110000,0.199973,1.349868,2.819939,0.000245
964.776000,-0.204648,0.109987,0.199975,1.349871,2.819948,0.000146
964.784000,-0.204822,0.109990,0.199972,1.349896,2.819919,0.000189
964.792000,-0.205000,0.109980,0.199962,1.349849,2.819867,0.000231
964.800000,-0.205172,0.109982,0.199952,1.349835,2.819841,0.000264
964.808000,-0.205373,0.109984,0.199978,1.349888,2.819915,0.000164
964.816000,-0.205549,0.109989,0.199972,1.349894,2.819886,0.000130
964.824000,-0.205749,0.109988,0.199979,1.349896,2.819940,0.000206
964.832000,-0.205941,0.109983,0.199986,1.349940,2.819994,0.000124
964.840000,-0.206134,0.109984,0.199977,1.349914,2.819943,0.000114
964.848000,-0.206336,0.109982,0.199978,1.349894,2.819991,0.000097
964.856000,-0.206542,0.109979,0.199980,1.349838,2.820008,0.000071
964.864000,-0.206764,0.109976,0.199984,1.349870,2.820038,0.000071
964.872000,-0.206963,0.109985,0.199990,1.349893,2.820005,0.000094
964.880000,-0.207185,0.109974,0.200000,1.349843,2.820078,0.000027
964.888000,-0.207396,0.109988,0.200019,1.349977,2.820106,-0.000007
964.896000,-0.207623,0.109982,0.200013,1.349834,2.820201,0.000025
964.904000,-0.207836,0.109984,0.200009,1.349900,2.820129,0.000083
964.912000,-0.208053,0.109982,0.200007,1.349895,2.820122,0.000098
964.920000,-0.208280,0.109976,0.199993,1.349850,2.820075,0.000111
964.928000,-0.208505,0.109991,0.199984,1.349934,2.819994,0.000125
964.936000,-0.208750,0.109983,0.199994,1.349930,2.820039,0.000166
964.944000,-0.208993,0.109975,0.199999,1.349885,2.820081,0.000139
964.952000,-0.209216,0.109985,0.199984,1.349871,2.820012,0.000176
964.960000,-0.209463,0.109991,0.199988,1.349910,2.820054,0.000141
964.968000,-0.209713,0.109984,0.199989,1.349834,2.820033,0.000187
964.976000,-0.209972,0.109983,0.200014,1.349810,2.820207,0.000103
964.984000,-0.210227,0.109974,0.199994,1.349714,2.820141,0.000123
964.992000,-0.210470,0.109976,0.199975,1.349713,2.820055,0.000169
965.000000,-0.210712,0.109986,0.199967,1.349864,2.819942,0.000182
965.008000,-0.210988,0.109989,0.199974,1.349833,2.820012,0.000212
965.016000,-0.211261,0.109979,0.199969,1.349776,2.819987,0.000190
965.024000,-0.211534,0.109984,0.199982,1.349850,2.820018,0.000171
965.032000,-0.211798,0.109994,0.199979,1.349928,2.819971,0.000183
965.040000,-0.212079,0.109987,0.199977,1.349875,2.819997,0.000230
965.048000,-0.212371,0.109980,0.199975,1.349777,2.820057,0.000183
965.056000,-0.212658,0.109992,0.199989,1.349903,2.820069,0.000179
965.064000,-0.212950,0.109992,0.199986,1.349834,2.820061,0.000189
965.072000,-0.213244,0.109992,0.200006,1.349790,2.820191,0.000118
965.080000,-0.213540,0.109987,0.199996,1.349802,2.820138,0.000197
965.088000,-0.213845,0.109986,0.200001,1.349773,2.820170,0.000166
965.096000,-0.214154,0.109986,0.200026,1.349844,2.820239,0.000037
965.104000,-0.214442,0.109993,0.200002,1.349916,2.820092,0.000139
965.112000,-0.214742,0.109992,0.200014,1.349907,2.820168,0.000134
965.120000,-0.215042,0.110000,0.200003,1.349969,2.820086,0.000111
965.128000,-0.215366,0.109995,0.200019,1.349973,2.820144,0.000073
965.136000,-0.215690,0.109990,0.200019,1.349894,2.820159,0.000049
965.144000,-0.216008,0.109990,0.200026,1.349905,2.820190,0.000068
965.152000,-0.216330,0.109981,0.200033,1.349793,2.820310,0.000004
965.160000,-0.216640,0.109990,0.200029,1.349816,2.820234,0.000071
965.168000,-0.216969,0.109989,0.200017,1.349843,2.820167,0.000089
965.176000,-0.217299,0.109989,0.200011,1.349822,2.820130,0.000123
965.184000,-0.217627,0.109985,0.200001,1.349714,2.820127,0.000181
965.192000,-0.217959,0.109979,0.199999,1.349759,2.820100,0.000167
965.200000,-0.218302,0.109993,0.199999,1.349785,2.820075,0.000259
965.208000,-0.218639,0.109993,0.200007,1.349859,2.820064,0.000244
965.216000,-0.218981,0.109993,0.199989,1.349825,2.819955,0.000267
965.224000,-0.219331,0.109988,0.199983,1.349810,2.819975,0.000259
965.232000,-0.219693,0.109992,0.199990,1.349807,2.820064,0.000303
965.240000,-0.220051,0.109988,0.199987,1.349786,2.820022,0.000192
965.248000,-0.220402,0.109987,0.199982,1.349840,2.819971,0.000252
965.256000,-0.220772,0.109985,0.199999,1.349838,2.820062,0.000253
965.264000,-0.221126,0.109987,0.199990,1.349831,2.820010,0.000227
965.272000,-0.221488,0.109998,0.199977,1.349834,2.819979,0.000267
965.280000,-0.221886,0.109997,0.199992,1.349836,2.820037,0.000266
965.288000,-0.222251,0.110004,0.199984,1.349835,2.820043,0.000239
965.296000,-0.222630,0.109992,0.199982,1.349763,2.820071,0.000222
965.304000,-0.223007,0.109995,0.199981,1.349761,2.820077,0.000280
