timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
4373.976000,-0.199984,0.110132,0.199957,1.349566,2.820150,0.000409
4373.984000,-0.199985,0.110127,0.199967,1.349568,2.820197,0.000335
4373.992000,-0.199983,0.110132,0.199974,1.349630,2.820239,0.000327
4374.000000,-0.199989,0.110132,0.199966,1.349616,2.820210,0.000352
4374.008000,-0.199984,0.110129,0.199962,1.349592,2.820161,0.000393
4374.016000,-0.199985,0.110131,0.199972,1.349669,2.820191,0.000285
4374.024000,-0.199989,0.110144,0.199980,1.349714,2.820199,0.000284
4374.032000,-0.199991,0.110131,0.199961,1.349561,2.820182,0.000325
4374.040000,-0.199990,0.110132,0.199964,1.349653,2.820157,0.000334
4374.048000,-0.199990,0.110136,0.199975,1.349569,2.820244,0.000343
4374.056000,-0.200006,0.110140,0.199980,1.349664,2.820227,0.000343
4374.064000,-0.200044,0.110127,0.200022,1.349667,2.820364,0.000185
4374.072000,-0.200053,0.110134,0.200014,1.349687,2.820407,0.000211
4374.080000,-0.200066,0.110138,0.200018,1.349738,2.820341,0.000175
4374.088000,-0.200084,0.110137,0.200024,1.349756,2.820422,0.000135
4374.096000,-0.200113,0.110142,0.200044,1.349819,2.820469,0.000101
4374.104000,-0.200152,0.110125,0.200046,1.349711,2.820461,0.000099
4374.112000,-0.200170,0.110128,0.200046,1.349722,2.820528,0.000049
4374.120000,-0.200199,0.110132,0.200020,1.349702,2.820441,0.000154
4374.128000,-0.200228,0.110128,0.200029,1.349691,2.820464,0.000120
4374.136000,-0.200263,0.110129,0.200015,1.349710,2.820459,0.000094
4374.144000,-0.200304,0.110131,0.200020,1.349716,2.820431,0.000151
4374.152000,-0.200339,0.110126,0.200001,1.349638,2.820397,0.000156
4374.160000,-0.200380,0.110127,0.199980,1.349630,2.820335,0.000178
4374.168000,-0.200430,0.110137,0.199975,1.349632,2.820255,0.000249
4374.176000,-0.200479,0.110130,0.199947,1.349604,2.820196,0.000297
4374.184000,-0.200533,0.110131,0.199939,1.349614,2.820130,0.000335
4374.192000,-0.200593,0.110128,0.199924,1.349508,2.820083,0.000440
4374.200000,-0.200682,0.110130,0.199955,1.349654,2.820174,0.000347
4374.208000,-0.200759,0.110126,0.199948,1.349559,2.820152,0.000367
4374.216000,-0.200842,0.110122,0.199968,1.349606,2.820296,0.000334
4374.224000,-0.200903,0.110127,0.199945,1.349603,2.820117,0.000369
4374.232000,-0.200993,0.110129,0.199947,1.349586,2.820129,0.000382
4374.240000,-0.201085,0.110123,0.199963,1.349603,2.820210,0.000296
4374.248000,-0.201174,0.110129,0.199945,1.349649,2.820090,0.000399
4374.256000,-0.201275,0.110119,0.199946,1.349612,2.820143,0.000287
4374.264000,-0.201368,0.110122,0.199952,1.349547,2.820184,0.000316
4374.272000,-0.201479,0.110114,0.199961,1.349534,2.820290,0.000305
4374.280000,-0.201564,0.110128,0.199956,1.349661,2.820168,0.000300
4374.288000,-0.201667,0.110117,0.199932,1.349500,2.820136,0.000411
4374.296000,-0.201775,0.110122,0.199949,1.349597,2.820212,0.000342
4374.304000,-0.201891,0.110121,0.199954,1.349602,2.820184,0.000353
4374.312000,-0.202012,0.110112,0.199957,1.349577,2.820218,0.000332
4374.320000,-0.202123,0.110113,0.199946,1.349517,2.820185,0.000409
4374.328000,-0.202241,0.110123,0.199938,1.349540,2.820148,0.000461
4374.336000,-0.202373,0.110118,0.199954,1.349520,2.820198,0.000448
4374.344000,-0.202495,0.110114,0.199952,1.349491,2.820185,0.000459
4374.352000,-0.202627,0.110119,0.199942,1.349547,2.820132,0.000553
4374.360000,-0.202755,0.110114,0.199937,1.349460,2.820124,0.000497
4374.368000,-0.202898,0.110112,0.199961,1.349554,2.820196,0.000451
4374.376000,-0.203035,0.110114,0.199942,1.349499,2.820125,0.000468
4374.384000,-0.203183,0.110114,0.199945,1.349543,2.820136,0.000479
4374.392000,-0.203328,0.110113,0.199946,1.349532,2.820116,0.000447
4374.400000,-0.203479,0.110106,0.199962,1.349504,2.820234,0.000409
4374.408000,-0.203625,0.110110,0.199961,1.349581,2.820183,0.000369
4374.416000,-0.203776,0.110113,0.199949,1.349585,2.820149,0.000319
4374.424000,-0.203925,0.110113,0.199935,1.349500,2.820103,0.000453
4374.432000,-0.204096,0.110106,0.199929,1.349473,2.820095,0.000521
4374.440000,-0.204264,0.110103,0.199943,1.349506,2.820125,0.000439
4374.448000,-0.204433,0.110103,0.199954,1.349564,2.820166,0.000383
4374.456000,-0.204606,0.110103,0.199960,1.349544,2.820214,0.000368
4374.464000,-0.204788,0.110104,0.199964,1.349500,2.820213,0.000393
4374.472000,-0.204955,0.110100,0.199958,1.349501,2.820175,0.000410
4374.480000,-0.205126,0.110100,0.199945,1.349466,2.820147,0.000410
4374.488000,-0.205305,0.110106,0.199937,1.349408,2.820118,0.000458
4374.496000,-0.205504,0.110098,0.199959,1.349370,2.820259,0.000384
4374.504000,-0.205697,0.110098,0.199958,1.349367,2.820257,0.000376
4374.512000,-0.205893,0.110090,0.199953,1.349280,2.820253,0.000375
4374.520000,-0.206072,0.110117,0.199956,1.349575,2.820180,0.000401
4374.528000,-0.206278,0.110116,0.199972,1.349574,2.820268,0.000309
4374.536000,-0.206482,0.110116,0.199965,1.349556,2.820236,0.000366
4374.544000,-0.206698,0.110115,0.199978,1.349551,2.820318,0.000383
4374.552000,-0.206901,0.110121,0.199966,1.349562,2.820303,0.000441
4374.560000,-0.207122,0.110115,0.199978,1.349596,2.820336,0.000374
4374.568000,-0.207327,0.110113,0.199973,1.349488,2.820331,0.000338
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.576000,-0.207552,0.110118,0.199982,1.349578,2.820351,0.000345
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.624000,-0.208914,0.110103,0.199958,1.349504,2.820226,0.000357
4374.712000,-0.211720,0.110120,0.199947,1.349458,2.820193,0.000503
4374.720000,-0.211999,0.110127,0.199957,1.349587,2.820210,0.000433
4374.728000,-0.212277,0.110118,0.199952,1.349542,2.820209,0.000412
4374.736000,-0.212557,0.110112,0.199941,1.349460,2.820171,0.000491
4374.744000,-0.212857,0.110116,0.199953,1.349506,2.820186,0.000427
4374.752000,-0.213153,0.110118,0.199966,1.349632,2.820199,0.000423
4374.760000,-0.213444,0.110121,0.200016,1.349720,2.820391,0.000205
4374.768000,-0.213753,0.110108,0.199984,1.349548,2.820337,0.000280
4374.776000,-0.214052,0.110110,0.199982,1.349593,2.820310,0.000267
4374.784000,-0.214355,0.110101,0.199971,1.349476,2.820289,0.000344
4374.792000,-0.214656,0.110103,0.199972,1.349437,2.820344,0.000363
4374.800000,-0.214965,0.110110,0.199989,1.349504,2.820402,0.000283
4374.808000,-0.215281,0.110105,0.199979,1.349484,2.820323,0.000284
4374.816000,-0.215587,0.110102,0.199978,1.349408,2.820347,0.000337
4374.824000,-0.215909,0.110113,0.200007,1.349535,2.820449,0.000291
4374.832000,-0.216220,0.110105,0.199988,1.349462,2.820342,0.000265
4374.840000,-0.216537,0.110118,0.199985,1.349599,2.820288,0.000301
4374.848000,-0.216851,0.110131,0.199966,1.349620,2.820212,0.000452
4374.856000,-0.217183,0.110125,0.199975,1.349635,2.820205,0.000370
4374.864000,-0.217525,0.110111,0.199985,1.349564,2.820282,0.000322
4374.872000,-0.217854,0.110111,0.199968,1.349532,2.820178,0.000405
4374.880000,-0.218190,0.110117,0.199971,1.349600,2.820198,0.000390
4374.888000,-0.218523,0.110116,0.199968,1.349504,2.820179,0.000457
4374.896000,-0.218876,0.110103,0.199959,1.349463,2.820187,0.000467
4374.904000,-0.219233,0.110114,0.199973,1.349416,2.820311,0.000416
4374.912000,-0.219595,0.110106,0.199978,1.349318,2.820333,0.000432
4374.920000,-0.219937,0.110112,0.199978,1.349412,2.820319,0.000350
4374.928000,-0.220307,0.110093,0.199966,1.349328,2.820322,0.000376
4374.936000,-0.220655,0.110104,0.199963,1.349400,2.820265,0.000349
4374.944000,-0.221017,0.110110,0.199964,1.349445,2.820236,0.000416
4374.952000,-0.221387,0.110102,0.199966,1.349427,2.820293,0.000383
4374.960000,-0.221765,0.110099,0.199959,1.349415,2.820273,0.000400
4374.968000,-0.222138,0.110100,0.199964,1.349401,2.820298,0.000407
4374.976000,-0.222523,0.110097,0.199965,1.349453,2.820284,0.000398
4374.984000,-0.222898,0.110103,0.199959,1.349430,2.820288,0.000464
4374.992000,-0.223276,0.110116,0.199941,1.349482,2.820143,0.000543
