timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
2184.056000,-0.199992,0.110102,0.199992,1.350142,2.819671,0.000556
2184.064000,-0.200000,0.110108,0.199998,1.350097,2.819709,0.000563
2184.072000,-0.199995,0.110095,0.199986,1.350028,2.819736,0.000632
2184.080000,-0.199999,0.110097,0.199986,1.350036,2.819709,0.000606
2184.088000,-0.199999,0.110096,0.199993,1.350076,2.819707,0.000573
2184.096000,-0.200002,0.110103,0.200007,1.350120,2.819758,0.000565
2184.104000,-0.200007,0.110104,0.199999,1.350114,2.819743,0.000556
2184.112000,-0.200001,0.110102,0.199993,1.350065,2.819683,0.000571
2184.120000,-0.200003,0.110107,0.199985,1.350072,2.819655,0.000629
2184.128000,-0.200035,0.110102,0.200023,1.350122,2.819763,0.000496
2184.136000,-0.200051,0.110105,0.200032,1.350176,2.819791,0.000521
2184.144000,-0.200066,0.110101,0.200020,1.350056,2.819758,0.000561
2184.152000,-0.200072,0.110103,0.200015,1.350129,2.819735,0.000595
2184.160000,-0.200107,0.110104,0.200030,1.350174,2.819785,0.000460
2184.168000,-0.200130,0.110104,0.200035,1.350174,2.819874,0.000461
2184.176000,-0.200156,0.110105,0.200030,1.350121,2.819809,0.000542
2184.184000,-0.200194,0.110102,0.200036,1.350149,2.819867,0.000491
2184.192000,-0.200210,0.110106,0.200016,1.350193,2.819785,0.000532
2184.200000,-0.200253,0.110103,0.200023,1.350146,2.819861,0.000472
2184.208000,-0.200282,0.110098,0.200008,1.350058,2.819808,0.000494
2184.216000,-0.200308,0.110098,0.199976,1.350071,2.819658,0.000591
2184.224000,-0.200342,0.110109,0.199958,1.350085,2.819602,0.000663
2184.232000,-0.200399,0.110103,0.199961,1.350084,2.819643,0.000612
2184.240000,-0.200441,0.110100,0.199944,1.350028,2.819527,0.000666
2184.248000,-0.200502,0.110099,0.199934,1.350008,2.819487,0.000739
2184.256000,-0.200569,0.110094,0.199939,1.350026,2.819525,0.000662
2184.264000,-0.200638,0.110095,0.199940,1.349969,2.819539,0.000708
2184.272000,-0.200704,0.110090,0.199929,1.349938,2.819517,0.000730
2184.280000,-0.200766,0.110106,0.199936,1.350038,2.819468,0.000726
2184.288000,-0.200841,0.110094,0.199928,1.349962,2.819486,0.000757
2184.296000,-0.200940,0.110084,0.199944,1.349865,2.819590,0.000712
2184.304000,-0.201008,0.110095,0.199933,1.349919,2.819444,0.000748
2184.312000,-0.201111,0.110090,0.199951,1.349971,2.819555,0.000671
2184.320000,-0.201199,0.110085,0.199947,1.349939,2.819533,0.000692
2184.328000,-0.201302,0.110082,0.199963,1.349946,2.819594,0.000622
2184.368000,-0.201811,0.110085,0.199963,1.349983,2.819598,0.000599
2184.376000,-0.201930,0.110082,0.199973,1.349992,2.819663,0.000545
2184.384000,-0.202040,0.110077,0.199964,1.349970,2.819618,0.000599
2184.392000,-0.202162,0.110075,0.199968,1.349900,2.819649,0.000593
2184.400000,-0.202287,0.110070,0.199966,1.349739,2.819706,0.000620
2184.400000,-0.202287,0.110070,0.199966,1.349739,2.819706,0.000620
2184.416000,-0.202542,0.110071,0.199963,1.349752,2.819654,0.000616
2184.424000,-0.202657,0.110083,0.199963,1.349804,2.819633,0.000626
2184.432000,-0.202803,0.110079,0.199963,1.349759,2.819628,0.000636
2184.440000,-0.202934,0.110082,0.199971,1.349859,2.819627,0.000598
2184.448000,-0.203084,0.110073,0.199975,1.349775,2.819670,0.000567
2184.456000,-0.203219,0.110070,0.199957,1.349738,2.819595,0.000602
2184.464000,-0.203371,0.110066,0.199979,1.349754,2.819634,0.000562
2184.472000,-0.203523,0.110072,0.199982,1.349828,2.819708,0.000583
2184.480000,-0.203657,0.110072,0.199948,1.349753,2.819592,0.000616
2184.488000,-0.203808,0.110076,0.199940,1.349789,2.819543,0.000692
2184.496000,-0.203975,0.110071,0.199957,1.349756,2.819651,0.000703
2184.504000,-0.204139,0.110084,0.199964,1.349871,2.819682,0.000740
2184.512000,-0.204301,0.110083,0.199947,1.349872,2.819600,0.000807
2184.520000,-0.204474,0.110078,0.199948,1.349765,2.819596,0.000814
2184.528000,-0.204656,0.110070,0.199970,1.349802,2.819724,0.000726
2184.528000,-0.204656,0.110070,0.199970,1.349802,2.819724,0.000726
2184.536000,-0.204828,0.110079,0.199974,1.349831,2.819701,0.000742
2184.552000,-0.205186,0.110064,0.199965,1.349785,2.819700,0.000719
2184.560000,-0.205354,0.110081,0.199955,1.349839,2.819599,0.000800
2184.568000,-0.205546,0.110074,0.199954,1.349815,2.819595,0.000801
2184.568000,-0.205546,0.110074,0.199954,1.349815,2.819595,0.000801
2184.584000,-0.205934,0.110065,0.199963,1.349781,2.819665,0.000743
2184.592000,-0.206133,0.110066,0.199964,1.349761,2.819671,0.000734
2184.600000,-0.206323,0.110072,0.199961,1.349823,2.819632,0.000750
2184.608000,-0.206541,0.110085,0.199982,1.349937,2.819658,0.000640
2184.616000,-0.206746,0.110080,0.199993,1.349906,2.819729,0.000589
2184.616000,-0.206746,0.110080,0.199993,1.349906,2.819729,0.000589
2184.624000,-0.206947,0.110093,0.199987,1.350013,2.819697,0.000606
2184.640000,-0.207378,0.110096,0.199984,1.349911,2.819704,0.000567
2184.648000,-0.207606,0.110081,0.200001,1.349864,2.819831,0.000484
2184.648000,-0.207606,0.110081,0.200001,1.349864,2.819831,0.000484
2184.664000,-0.208033,0.110087,0.199988,1.349936,2.819730,0.000506
2184.672000,-0.208250,0.110085,0.199976,1.349925,2.819713,0.000571
2184.680000,-0.208481,0.110102,0.199970,1.350026,2.819624,0.000626
2184.688000,-0.208729,0.110090,0.199987,1.349993,2.819737,0.000610
2184.696000,-0.208967,0.110097,0.199991,1.350019,2.819709,0.000606
2184.704000,-0.209212,0.110083,0.199995,1.349940,2.819766,0.000538
2184.712000,-0.209464,0.110081,0.199987,1.349876,2.819815,0.000678
2184.720000,-0.209710,0.110089,0.200014,1.350007,2.819833,0.000525
2184.728000,-0.209947,0.110080,0.199982,1.349946,2.819709,0.000638
2184.736000,-0.210198,0.110095,0.199958,1.349944,2.819622,0.000724
2184.744000,-0.210446,0.110083,0.199963,1.349899,2.819663,0.000655
2184.752000,-0.210716,0.110083,0.199970,1.349863,2.819682,0.000659
2184.760000,-0.210985,0.110084,0.199980,1.349914,2.819707,0.000631
2184.768000,-0.211254,0.110070,0.199962,1.349774,2.819680,0.000660
2184.776000,-0.211514,0.110085,0.199962,1.349846,2.819664,0.000630
2184.784000,-0.211790,0.110076,0.199955,1.349787,2.819676,0.000710
2184.792000,-0.212063,0.110082,0.199967,1.349812,2.819689,0.000656
2184.800000,-0.212349,0.110085,0.199966,1.349869,2.819687,0.000643
2184.808000,-0.212634,0.110072,0.199951,1.349736,2.819673,0.000680
2184.808000,-0.212634,0.110072,0.199951,1.349736,2.819673,0.000680
2184.824000,-0.213235,0.110072,0.199984,1.349833,2.819808,0.000647
2184.832000,-0.213531,0.110083,0.199986,1.349897,2.819772,0.000674
2184.840000,-0.213826,0.110084,0.199994,1.349932,2.819764,0.000568
2184.848000,-0.214143,0.110070,0.200007,1.349896,2.819870,0.000532
2184.856000,-0.214434,0.110084,0.200007,1.350023,2.819840,0.000535
2184.864000,-0.214738,0.110067,0.200000,1.349897,2.819842,0.000538
2184.872000,-0.215047,0.110077,0.200006,1.349930,2.819833,0.000514
2184.872000,-0.215047,0.110077,0.200006,1.349930,2.819833,0.000514
2184.888000,-0.215669,0.110078,0.199990,1.349902,2.819786,0.000560
2184.896000,-0.215989,0.110088,0.199998,1.349874,2.819824,0.000586
2184.904000,-0.216314,0.110067,0.200005,1.349822,2.819893,0.000498
2184.912000,-0.216642,0.110080,0.199998,1.349819,2.819852,0.000589
2184.920000,-0.216955,0.110078,0.199976,1.349785,2.819790,0.000708
2184.928000,-0.217292,0.110077,0.199997,1.349830,2.819805,0.000643
2184.936000,-0.217619,0.110081,0.199980,1.349838,2.819741,0.000727
2184.944000,-0.217944,0.110084,0.199960,1.349834,2.819607,0.000759
2184.952000,-0.218293,0.110079,0.199978,1.349876,2.819658,0.000669
2184.960000,-0.218624,0.110072,0.199960,1.349797,2.819630,0.000779
2184.968000,-0.218973,0.110083,0.199963,1.349859,2.819553,0.000769
2184.976000,-0.219336,0.110070,0.199982,1.349840,2.819694,0.000680
2184.984000,-0.219690,0.110067,0.199978,1.349811,2.819683,0.000697
2184.992000,-0.220048,0.110069,0.199972,1.349835,2.819654,0.000646
2185.000000,-0.220391,0.110069,0.199949,1.349832,2.819566,0.000688
2185.008000,-0.220751,0.110086,0.199956,1.349887,2.819604,0.000787
2185.016000,-0.221114,0.110067,0.199946,1.349715,2.819597,0.000787
2185.024000,-0.221482,0.110071,0.199941,1.349709,2.819593,0.000811
2185.032000,-0.221858,0.110084,0.199952,1.349831,2.819595,0.000768
2185.040000,-0.222232,0.110075,0.199952,1.349775,2.819615,0.000751
2185.048000,-0.222599,0.110089,0.199934,1.349848,2.819513,0.000773
2185.056000,-0.222992,0.110064,0.199948,1.349764,2.819607,0.000716
2185.064000,-0.223379,0.110076,0.199947,1.349866,2.819569,0.000789
2185.072000,-0.223765,0.110087,0.199949,1.349887,2.819534,0.000761
2185.080000,-0.224160,0.110077,0.199949,1.349837,2.819569,0.000836
2185.088000,-0.224549,0.110091,0.199934,1.349868,2.819511,0.000882
2185.096000,-0.224954,0.110084,0.199941,1.349828,2.819565,0.000814
2185.104000,-0.225368,0.110087,0.199970,1.349927,2.819607,0.000728
2185.112000,-0.225770,0.110076,0.199970,1.349886,2.819661,0.000703
2185.112000,-0.225770,0.110076,0.199970,1.349886,2.819661,0.000703
2185.128000,-0.226571,0.110083,0.199979,1.349860,2.819666,0.000638
2185.136000,-0.226993,0.110067,0.199970,1.349691,2.819710,0.000660
2185.144000,-0.227418,0.110075,0.199988,1.349806,2.819743,0.000616
2185.152000,-0.227840,0.110069,0.199994,1.349767,2.819802,0.000647
2185.160000,-0.228251,0.110078,0.199998,1.349948,2.819756,0.000637
2185.168000,-0.228674,0.110076,0.199998,1.349916,2.819740,0.000675
2185.176000,-0.229102,0.110076,0.199988,1.349876,2.819751,0.000696
2185.184000,-0.229549,0.110088,0.200002,1.349993,2.819746,0.000675
2185.192000,-0.229982,0.110071,0.199997,1.349926,2.819784,0.000563
2185.200000,-0.230410,0.110086,0.199974,1.349947,2.819664,0.000673
2185.208000,-0.230872,0.110072,0.199989,1.349976,2.819733,0.000570
2185.216000,-0.231330,0.110080,0.200000,1.349992,2.819777,0.000590
2185.224000,-0.231790,0.110069,0.199999,1.349932,2.819833,0.000586
2185.232000,-0.232244,0.110063,0.200003,1.349916,2.819851,0.000573
2185.240000,-0.232686,0.110088,0.199979,1.350012,2.819714,0.000648
2185.248000,-0.233146,0.110067,0.199975,1.349798,2.819796,0.000635
2185.256000,-0.233612,0.110072,0.199962,1.349890,2.819648,0.000636
2185.264000,-0.234072,0.110057,0.199965,1.349775,2.819677,0.000647
2185.272000,-0.234524,0.110069,0.199960,1.349841,2.819650,0.000616
2185.280000,-0.234994,0.110084,0.199982,1.350000,2.819643,0.000602
2185.288000,-0.235480,0.110058,0.199984,1.349805,2.819770,0.000698
2185.296000,-0.235966,0.110078,0.200022,1.350019,2.819838,0.000592
2185.304000,-0.236448,0.110055,0.200018,1.349919,2.819896,0.000537
2185.312000,-0.236923,0.110067,0.200012,1.349968,2.819834,0.000512
2185.320000,-0.237396,0.110074,0.200004,1.350006,2.819748,0.000487
2185.328000,-0.237860,0.110057,0.199981,1.349727,2.819778,0.000572
2185.336000,-0.238337,0.110065,0.199969,1.349836,2.819668,0.000665
2185.344000,-0.238814,0.110059,0.199971,1.349786,2.819702,0.000650
2185.352000,-0.239290,0.110071,0.199985,1.349834,2.819767,0.000560
2185.360000,-0.239763,0.110067,0.199981,1.349823,2.819710,0.000637
2185.368000,-0.240246,0.110066,0.199987,1.349803,2.819764,0.000597
2185.376000,-0.240729,0.110068,0.199988,1.349903,2.819679,0.000615
2185.384000,-0.241196,0.110062,0.199984,1.349823,2.819738,0.000676
2185.392000,-0.241667,0.110068,0.199996,1.349928,2.819705,0.000552
2185.400000,-0.242139,0.110064,0.200006,1.349935,2.819770,0.000540
2185.408000,-0.242621,0.110063,0.200005,1.349914,2.819736,0.000498
2185.416000,-0.243073,0.110072,0.199978,1.349900,2.819669,0.000624
2185.424000,-0.243551,0.110070,0.199981,1.349868,2.819741,0.000660
2185.424000,-0.244022,0.110078,0.199971,1.349917,2.819678,0.000678
2185.440000,-0.244488,0.110076,0.199991,1.349959,2.819776,0.000632
2185.448000,-0.244941,0.110070,0.199947,1.349818,2.819662,0.000748
2185.456000,-0.245394,0.110056,0.199916,1.349721,2.819552,0.000807
2185.464000,-0.245846,0.110066,0.199924,1.349829,2.819527,0.000760
2185.472000,-0.246314,0.110081,0.199912,1.349872,2.819450,0.000852
2185.480000,-0.246785,0.110053,0.199923,1.349763,2.819578,0.000773
2185.488000,-0.247247,0.110073,0.199941,1.349909,2.819585,0.000649
2185.496000,-0.247710,0.110065,0.199938,1.349854,2.819609,0.000685
2185.504000,-0.248171,0.110078,0.199964,1.349879,2.819713,0.000680
2185.512000,-0.248629,0.110069,0.199969,1.349752,2.819806,0.000734
2185.520000,-0.249081,0.110068,0.199978,1.349833,2.819808,0.000679
2185.528000,-0.249549,0.110084,0.200021,1.349977,2.819857,0.000547
2185.536000,-0.250004,0.110072,0.200017,1.349896,2.819870,0.000516
2185.544000,-0.250443,0.110082,0.200010,1.349957,2.819785,0.000568
2185.552000,-0.250907,0.110076,0.200038,1.350043,2.819844,0.000430
2185.560000,-0.251359,0.110068,0.200023,1.349944,2.819859,0.000466
2185.568000,-0.251805,0.110078,0.200030,1.349997,2.819849,0.000552
2185.576000,-0.252256,0.110070,0.200013,1.349988,2.819839,0.000639
2185.584000,-0.252701,0.110088,0.200009,1.350053,2.819765,0.000597
2185.592000,-0.253162,0.110063,0.200024,1.350000,2.819794,0.000526
2185.600000,-0.253604,0.110075,0.200022,1.350056,2.819784,0.000486
2185.608000,-0.254040,0.110064,0.200010,1.349983,2.819727,0.000521
2185.616000,-0.254501,0.110058,0.200015,1.349966,2.819786,0.000542
2185.624000,-0.254948,0.110075,0.200020,1.350020,2.819778,0.000501
2185.632000,-0.255379,0.110071,0.199999,1.349857,2.819745,0.000611
2185.640000,-0.255822,0.110077,0.199989,1.349839,2.819757,0.000663
2185.648000,-0.256263,0.110075,0.200003,1.349880,2.819765,0.000659
2185.656000,-0.256699,0.110075,0.199996,1.349863,2.819695,0.000643
2185.664000,-0.257150,0.110079,0.200028,1.350021,2.819815,0.000523
2185.672000,-0.257592,0.110067,0.200032,1.349943,2.819832,0.000468
2185.680000,-0.258028,0.110059,0.200021,1.349859,2.819793,0.000536
2185.688000,-0.258465,0.110063,0.200000,1.349866,2.819770,0.000564
2185.720000,-0.260188,0.110073,0.199977,1.349862,2.819662,0.000758
2185.728000,-0.260627,0.110046,0.199996,1.349744,2.819771,0.000738
2185.736000,-0.261052,0.110058,0.199991,1.349836,2.819708,0.000724
2185.744000,-0.261467,0.110056,0.199977,1.349788,2.819658,0.000726
2185.752000,-0.261893,0.110058,0.199981,1.349802,2.819650,0.000762
2185.760000,-0.262316,0.110058,0.199966,1.349779,2.819564,0.000739
2185.768000,-0.262748,0.110041,0.199939,1.349637,2.819534,0.000841
2185.776000,-0.263168,0.110067,0.199948,1.349785,2.819461,0.000835
2185.784000,-0.263601,0.110053,0.199963,1.349681,2.819552,0.000780
2185.792000,-0.264039,0.110069,0.200010,1.349895,2.819662,0.000628
2185.800000,-0.264470,0.110050,0.199995,1.349704,2.819704,0.000781
2185.808000,-0.264899,0.110052,0.199997,1.349721,2.819659,0.000758
2185.816000,-0.265332,0.110055,0.199996,1.349775,2.819690,0.000712
2185.824000,-0.265752,0.110044,0.199996,1.349651,2.819741,0.000733
2185.832000,-0.266177,0.110053,0.199976,1.349686,2.819646,0.000759
2185.840000,-0.266592,0.110047,0.199978,1.349645,2.819652,0.000762
2185.848000,-0.267016,0.110056,0.199971,1.349779,2.819593,0.000732
2185.856000,-0.267438,0.110057,0.199956,1.349755,2.819548,0.000785
2185.864000,-0.267862,0.110048,0.199969,1.349748,2.819627,0.000791
2185.872000,-0.268303,0.110060,0.200000,1.349820,2.819741,0.000660
2185.880000,-0.268702,0.110056,0.199983,1.349801,2.819665,0.000756
2185.888000,-0.269112,0.110063,0.199989,1.349850,2.819682,0.000659
2185.896000,-0.269517,0.110068,0.199969,1.349903,2.819626,0.000697
2185.904000,-0.269929,0.110056,0.199966,1.349778,2.819673,0.000700
2185.912000,-0.270344,0.110063,0.199952,1.349868,2.819562,0.000677
2185.920000,-0.270759,0.110047,0.199971,1.349846,2.819697,0.000651
2185.928000,-0.271165,0.110054,0.199961,1.349820,2.819649,0.000686
2185.936000,-0.271584,0.110048,0.200003,1.349898,2.819819,0.000602
2185.944000,-0.271997,0.110053,0.200019,1.349891,2.819898,0.000565
2185.952000,-0.272395,0.110071,0.200011,1.350070,2.819799,0.000527
2185.960000,-0.272808,0.110049,0.200009,1.349894,2.819870,0.000531
2185.968000,-0.273209,0.110061,0.200007,1.349964,2.819763,0.000533
2185.976000,-0.273616,0.110049,0.200004,1.349890,2.819829,0.000529
2185.984000,-0.274024,0.110062,0.200001,1.349880,2.819860,0.000609
2185.992000,-0.274419,0.110053,0.199988,1.349757,2.819823,0.000670
2186.000000,-0.274824,0.110049,0.199980,1.349742,2.819840,0.000699
2186.008000,-0.275224,0.110073,0.199980,1.349919,2.819737,0.000642
2186.016000,-0.275636,0.110053,0.199992,1.349765,2.819815,0.000614
2186.024000,-0.276040,0.110055,0.199985,1.349875,2.819786,0.000552
2186.032000,-0.276429,0.110061,0.199985,1.349872,2.819786,0.000589
2186.040000,-0.276836,0.110036,0.199973,1.349749,2.819754,0.000668
2186.048000,-0.277237,0.110064,0.199985,1.349856,2.819809,0.000588
2186.056000,-0.277626,0.110054,0.199977,1.349840,2.819737,0.000701
2186.064000,-0.278047,0.110047,0.199976,1.349818,2.819740,0.000680
2186.072000,-0.278451,0.110052,0.199997,1.349870,2.819856,0.000662
2186.080000,-0.278841,0.110042,0.199995,1.349857,2.819791,0.000623
2186.088000,-0.279237,0.110073,0.200025,1.350016,2.819869,0.000511
2186.096000,-0.279634,0.110058,0.200023,1.349939,2.819845,0.000549
2186.104000,-0.280030,0.110067,0.200034,1.349977,2.819885,0.000462
2186.112000,-0.280429,0.110066,0.200037,1.349989,2.819915,0.000474
2186.120000,-0.280823,0.110049,0.200050,1.349765,2.820015,0.000453
2186.128000,-0.281199,0.110080,0.200031,1.349962,2.819866,0.000464
2186.136000,-0.281593,0.110060,0.200025,1.349838,2.819918,0.000528
2186.144000,-0.281980,0.110076,0.200023,1.349958,2.819871,0.000600
2186.152000,-0.282360,0.110077,0.200000,1.349945,2.819804,0.000646
2186.160000,-0.282754,0.110055,0.200008,1.349829,2.819871,0.000592
2186.168000,-0.283143,0.110069,0.200021,1.349928,2.819865,0.000538
2186.176000,-0.283510,0.110062,0.200012,1.349877,2.819806,0.000550
2186.184000,-0.283900,0.110065,0.200017,1.349931,2.819838,0.000548
2186.192000,-0.284284,0.110059,0.200012,1.349902,2.819827,0.000561
2186.200000,-0.284664,0.110045,0.200014,1.349816,2.819867,0.000517
2186.208000,-0.285041,0.110071,0.200013,1.349973,2.819809,0.000520
2186.216000,-0.285422,0.110062,0.200007,1.349915,2.819824,0.000609
2186.224000,-0.285805,0.110069,0.200003,1.349946,2.819766,0.000613
2186.232000,-0.286196,0.110055,0.200015,1.349902,2.819851,0.000587
2186.240000,-0.286577,0.110065,0.200012,1.350011,2.819781,0.000574
2186.248000,-0.286952,0.110066,0.200020,1.350006,2.819818,0.000546
2186.256000,-0.287325,0.110064,0.200021,1.349987,2.819827,0.000543
2186.264000,-0.287717,0.110078,0.200044,1.350109,2.819870,0.000448
2186.272000,-0.288113,0.110057,0.200055,1.350011,2.819974,0.000446
2186.280000,-0.288482,0.110069,0.200025,1.350042,2.819827,0.000532
2186.288000,-0.288842,0.110061,0.200025,1.349999,2.819828,0.000563
2186.296000,-0.289216,0.110052,0.200011,1.349894,2.819830,0.000593
2186.304000,-0.289597,0.110066,0.200007,1.349982,2.819758,0.000587
2186.312000,-0.289987,0.110051,0.200024,1.349955,2.819836,0.000560
2186.320000,-0.290336,0.110065,0.199999,1.349892,2.819710,0.000620
2186.328000,-0.290705,0.110063,0.199988,1.349897,2.819682,0.000718
2186.336000,-0.291066,0.110050,0.199983,1.349807,2.819714,0.000640
2186.344000,-0.291438,0.110063,0.199988,1.349773,2.819735,0.000653
2186.352000,-0.291821,0.110045,0.199973,1.349679,2.819760,0.000767
2186.360000,-0.292176,0.110064,0.199966,1.349798,2.819667,0.000788
2186.368000,-0.292548,0.110045,0.199977,1.349750,2.819702,0.000778
2186.376000,-0.292937,0.110041,0.200008,1.349805,2.819823,0.000653
2186.384000,-0.293305,0.110042,0.199980,1.349746,2.819744,0.000638
2186.384000,-0.293305,0.110042,0.199980,1.349746,2.819744,0.000638
2186.400000,-0.294035,0.110065,0.200004,1.349931,2.819751,0.000608
2186.408000,-0.294397,0.110034,0.200001,1.349775,2.819818,0.000590
2186.416000,-0.294762,0.110063,0.200002,1.349854,2.819773,0.000652
2186.424000,-0.295119,0.110056,0.200003,1.349942,2.819743,0.000601
2186.432000,-0.295485,0.110033,0.200016,1.349806,2.819855,0.000567
2186.440000,-0.295845,0.110054,0.200008,1.349877,2.819832,0.000597
2186.448000,-0.296194,0.110049,0.200013,1.349866,2.819814,0.000611
2186.456000,-0.296559,0.110055,0.200019,1.349919,2.819799,0.000558
2186.464000,-0.296912,0.110059,0.200014,1.349984,2.819768,0.000597
2186.472000,-0.297281,0.110042,0.200017,1.349875,2.819803,0.000586
2186.480000,-0.297621,0.110067,0.200014,1.349947,2.819742,0.000641
2186.488000,-0.297980,0.110044,0.199998,1.349919,2.819731,0.000657
2186.496000,-0.298323,0.110060,0.199978,1.349876,2.819644,0.000726
2186.504000,-0.298682,0.110058,0.199992,1.349935,2.819641,0.000623
2186.512000,-0.299046,0.110065,0.200012,1.349957,2.819778,0.000623
2186.520000,-0.299387,0.110072,0.199987,1.349989,2.819631,0.000669
2186.528000,-0.299737,0.110055,0.199978,1.349861,2.819673,0.000743
