timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
2464.080000,-0.200022,0.109990,0.200043,1.350142,2.820148,-0.000279
2464.088000,-0.200017,0.109995,0.200026,1.350097,2.820055,-0.000096
2464.096000,-0.200020,0.109994,0.200039,1.350111,2.820126,-0.000170
2464.104000,-0.200013,0.109993,0.200030,1.350085,2.820073,-0.000146
2464.112000,-0.200017,0.109988,0.200033,1.350129,2.820076,-0.000204
2464.120000,-0.200009,0.109995,0.200019,1.350106,2.820028,-0.000121
2464.128000,-0.200015,0.109993,0.200037,1.350135,2.820133,-0.000203
2464.136000,-0.200012,0.109991,0.200021,1.350111,2.820038,-0.000171
2464.144000,-0.200011,0.109991,0.200017,1.350080,2.820017,-0.000147
2464.184000,-0.200065,0.109994,0.200034,1.350114,2.820047,-0.000140
2464.192000,-0.200081,0.109997,0.200010,1.350077,2.819968,-0.000076
2464.200000,-0.200102,0.109987,0.200022,1.350049,2.820041,-0.000117
2464.208000,-0.200121,0.109994,0.200009,1.350077,2.819969,-0.000078
2464.216000,-0.200152,0.109996,0.200025,1.350030,2.820090,-0.000086
2464.224000,-0.200192,0.109986,0.200023,1.350013,2.820141,-0.000178
2464.232000,-0.200226,0.109981,0.200022,1.350012,2.820094,-0.000189
2464.240000,-0.200259,0.109987,0.200030,1.350113,2.820135,-0.000231
2464.248000,-0.200287,0.109989,0.200005,1.350076,2.820056,-0.000167
2464.256000,-0.200330,0.109987,0.200007,1.350082,2.820070,-0.000159
2464.264000,-0.200369,0.109983,0.199983,1.350013,2.820012,-0.000078
2464.272000,-0.200405,0.109984,0.199978,1.350030,2.819962,-0.000072
2464.280000,-0.200456,0.109984,0.199961,1.349966,2.819872,-0.000035
2464.288000,-0.200521,0.109975,0.199954,1.349942,2.819954,-0.000001
2464.296000,-0.200569,0.109971,0.199939,1.349825,2.819883,0.000103
2464.368000,-0.201320,0.109929,0.199963,1.349896,2.819922,-0.000024
2464.376000,-0.201425,0.109917,0.199968,1.349824,2.819948,-0.000003
2464.384000,-0.201539,0.109910,0.199996,1.349942,2.820069,-0.000087
2464.392000,-0.201633,0.109904,0.199983,1.349912,2.820010,-0.000041
2464.400000,-0.201730,0.109912,0.199971,1.350035,2.819920,-0.000005
2464.408000,-0.201832,0.109907,0.199967,1.349988,2.819910,-0.000009
2464.416000,-0.201954,0.109894,0.199981,1.349909,2.820012,-0.000038
2464.424000,-0.202074,0.109883,0.199969,1.349868,2.819970,-0.000001
2464.432000,-0.202189,0.109890,0.199976,1.349970,2.819973,0.000020
2464.440000,-0.202302,0.109886,0.199974,1.349980,2.819954,0.000066
2464.448000,-0.202446,0.109869,0.199993,1.350033,2.819986,0.000105
2464.456000,-0.202584,0.109874,0.200017,1.350039,2.820088,0.000024
2464.464000,-0.202699,0.109873,0.199992,1.350093,2.819942,0.000059
2464.472000,-0.202839,0.109851,0.199984,1.349909,2.819996,0.000139
2464.480000,-0.202981,0.109846,0.200002,1.349895,2.820055,0.000033
2464.488000,-0.203124,0.109840,0.199992,1.350038,2.819966,0.000062
2464.496000,-0.203271,0.109834,0.200005,1.350048,2.819994,0.000032
2464.504000,-0.203417,0.109813,0.199995,1.349873,2.820065,0.000035
2464.512000,-0.203567,0.109813,0.200000,1.349926,2.820049,0.000020
2464.520000,-0.203730,0.109804,0.200001,1.349891,2.820110,0.000023
2464.528000,-0.203869,0.109789,0.199984,1.349952,2.820025,0.000036
2464.536000,-0.204026,0.109780,0.199968,1.349963,2.819921,0.000096
2464.544000,-0.204177,0.109784,0.199959,1.349907,2.819892,0.000146
2464.552000,-0.204347,0.109764,0.199968,1.349842,2.819939,0.000107
2464.560000,-0.204521,0.109756,0.199975,1.349801,2.819986,0.000058
2464.568000,-0.204693,0.109749,0.199961,1.349956,2.819837,0.000101
2464.576000,-0.204881,0.109725,0.199982,1.349886,2.819957,0.000055
2464.584000,-0.205048,0.109726,0.199973,1.349911,2.819882,0.000089
2464.592000,-0.205229,0.109719,0.199992,1.349974,2.819933,-0.000018
2464.600000,-0.205405,0.109713,0.199986,1.350037,2.819894,0.000001
2464.608000,-0.205580,0.109696,0.199973,1.349914,2.819902,0.000027
2464.616000,-0.205762,0.109687,0.199997,1.349947,2.819932,-0.000055
2464.624000,-0.205946,0.109674,0.199990,1.349857,2.819965,-0.000037
2464.632000,-0.206119,0.109661,0.199981,1.349914,2.819959,-0.000017
2464.640000,-0.206299,0.109654,0.199999,1.349994,2.820002,-0.000081
2464.648000,-0.206481,0.109641,0.199993,1.349979,2.819976,-0.000088
2464.656000,-0.206651,0.109641,0.200009,1.350038,2.820016,-0.000144
2464.664000,-0.206842,0.109617,0.199998,1.349901,2.819996,-0.000094
2464.672000,-0.207013,0.109615,0.200012,1.350060,2.820030,-0.000115
2464.680000,-0.207188,0.109611,0.200022,1.350127,2.820043,-0.000197
2464.688000,-0.207361,0.109594,0.200009,1.349969,2.820020,-0.000180
2464.696000,-0.207543,0.109586,0.200023,1.350028,2.820108,-0.000185
2464.704000,-0.207722,0.109575,0.200025,1.350032,2.820121,-0.000183
2464.712000,-0.207886,0.109566,0.200027,1.350070,2.820118,-0.000180
2464.720000,-0.208059,0.109558,0.200015,1.350088,2.820029,-0.000155
2464.728000,-0.208214,0.109545,0.200010,1.350050,2.820039,-0.000135
2464.736000,-0.208372,0.109542,0.199999,1.350025,2.819947,-0.000093
2464.744000,-0.208561,0.109526,0.200005,1.350050,2.820004,-0.000107
2464.752000,-0.208729,0.109518,0.199982,1.350113,2.819881,-0.000030
2464.760000,-0.208900,0.109508,0.199994,1.350023,2.819957,-0.000062
2464.768000,-0.209087,0.109495,0.199993,1.350007,2.819973,-0.000035
2464.776000,-0.209259,0.109483,0.199982,1.350009,2.819939,0.000042
2464.784000,-0.209417,0.109486,0.199984,1.350142,2.819874,0.000035
2464.792000,-0.209598,0.109471,0.199995,1.350128,2.819937,-0.000012
2464.800000,-0.209776,0.109453,0.199992,1.349935,2.820013,0.000031
2464.808000,-0.209956,0.109442,0.200018,1.350111,2.820040,-0.000074
2464.816000,-0.210123,0.109437,0.200009,1.350192,2.819998,0.000005
2464.824000,-0.210291,0.109430,0.200015,1.350210,2.819998,-0.000053
2464.832000,-0.210451,0.109413,0.199982,1.350024,2.819959,0.000090
2464.840000,-0.210619,0.109407,0.199986,1.350124,2.819910,-0.000000
2464.848000,-0.210790,0.109391,0.199987,1.350157,2.819898,0.000011
2464.856000,-0.210954,0.109385,0.199977,1.350119,2.819865,0.000079
2464.864000,-0.211134,0.109371,0.199975,1.350007,2.819897,0.000105
2464.872000,-0.211318,0.109344,0.200000,1.350033,2.820002,-0.000024
2464.880000,-0.211485,0.109335,0.199988,1.350109,2.819903,-0.000031
2464.888000,-0.211654,0.109328,0.199994,1.350004,2.819992,-0.000004
2464.896000,-0.211823,0.109316,0.199980,1.349957,2.819940,-0.000004
2464.904000,-0.211986,0.109309,0.199977,1.350078,2.819850,0.000032
2464.912000,-0.212143,0.109305,0.199980,1.350114,2.819842,0.000018
2464.920000,-0.212341,0.109283,0.199996,1.350082,2.819956,-0.000038
2464.928000,-0.212497,0.109281,0.199991,1.350210,2.819879,-0.000036
2464.936000,-0.212663,0.109260,0.199981,1.350124,2.819876,-0.000033
2464.944000,-0.212834,0.109250,0.199986,1.350041,2.819925,-0.000049
2464.952000,-0.213008,0.109243,0.199995,1.350046,2.819985,-0.000080
