timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
866.272000,-0.200011,0.110009,0.200010,1.350088,2.820076,0.000037
866.288000,-0.200018,0.110007,0.200011,1.349999,2.820107,0.000002
866.296000,-0.200008,0.110014,0.200010,1.350088,2.820076,0.000036
866.304000,-0.200013,0.110016,0.200011,1.350114,2.820088,0.000062
866.312000,-0.200001,0.110008,0.200006,1.350036,2.820096,0.000020
866.320000,-0.200008,0.110009,0.200007,1.349999,2.820107,0.000044
866.328000,-0.200014,0.110011,0.200010,1.350105,2.820068,0.000036
866.336000,-0.200016,0.110007,0.200012,1.350033,2.820091,0.000002
866.344000,-0.200013,0.110013,0.200012,1.350091,2.820082,-0.000031
866.352000,-0.200014,0.110016,0.200019,1.350127,2.820117,0.000037
866.360000,-0.200028,0.110009,0.200031,1.350099,2.820143,-0.000055
866.368000,-0.200061,0.110006,0.200047,1.350049,2.820214,-0.000090
866.376000,-0.200077,0.110005,0.200056,1.350148,2.820292,-0.000154
866.384000,-0.200081,0.110008,0.200040,1.350130,2.820211,-0.000073
866.392000,-0.200108,0.110007,0.200061,1.350127,2.820295,-0.000089
866.400000,-0.200143,0.110002,0.200075,1.350117,2.820318,-0.000208
866.408000,-0.200166,0.110011,0.200075,1.350179,2.820317,-0.000125
866.416000,-0.200187,0.110000,0.200063,1.350067,2.820299,-0.000160
866.424000,-0.200229,0.110010,0.200070,1.350207,2.820333,-0.000211
866.432000,-0.200266,0.110009,0.200063,1.350206,2.820333,-0.000170
866.440000,-0.200305,0.110005,0.200074,1.350186,2.820377,-0.000238
866.448000,-0.200327,0.110010,0.200045,1.350190,2.820297,-0.000165
866.456000,-0.200372,0.110007,0.200039,1.350140,2.820279,-0.000201
866.464000,-0.200411,0.110008,0.200010,1.350095,2.820144,-0.000013
866.472000,-0.200459,0.110003,0.199992,1.350018,2.820156,0.000002
866.480000,-0.200514,0.109993,0.199970,1.349902,2.820044,0.000030
866.528000,-0.200952,0.109999,0.199971,1.349966,2.820012,0.000027
866.536000,-0.201037,0.109995,0.199967,1.349917,2.820045,0.000100
866.544000,-0.201124,0.109993,0.199972,1.349917,2.820002,0.000061
866.552000,-0.201213,0.109994,0.199969,1.349974,2.819992,0.000025
866.560000,-0.201319,0.110003,0.200002,1.350021,2.820141,-0.000037
866.568000,-0.201417,0.109995,0.199989,1.349971,2.820080,-0.000026
866.576000,-0.201526,0.109992,0.199998,1.350000,2.820142,-0.000062
