timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
1706.392000,-0.129991,0.110004,0.500000,-1.003960,-2.275254,0.401379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1706.408000,-0.129983,0.110010,0.500007,-1.003999,-2.275222,0.401382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1706.408000,-0.129982,0.110004,0.500016,-1.003873,-2.275214,0.401415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1706.424000,-0.129991,0.109999,0.500014,-1.003914,-2.275218,0.401446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1706.456000,-0.129982,0.110005,0.500007,-1.003868,-2.275188,0.401409,-0.003683,0.000113,-0.004638,-0.000240,-0.008290,-0.000155
1706.464000,-0.130024,0.109998,0.499964,-1.003929,-2.275261,0.401483,-0.002851,0.000088,-0.002389,-0.000026,0.003093,-0.000133
1706.472000,-0.130045,0.110006,0.499940,-1.003992,-2.275233,0.401418,-0.006220,0.000191,-0.007532,-0.000364,-0.011595,-0.000266
1706.480000,-0.130096,0.110006,0.499904,-1.003928,-2.275218,0.401409,-0.004422,0.000138,-0.002221,0.000157,0.016562,-0.000223
1706.488000,-0.130146,0.110004,0.499855,-1.003930,-2.275239,0.401442,-0.007072,0.000219,-0.005593,-0.000019,0.010381,-0.000335
1706.496000,-0.130196,0.110005,0.499818,-1.003872,-2.275083,0.401501,-0.009311,0.000064,-0.008992,-0.000258,-0.000570,0.001255
1706.504000,-0.130280,0.110006,0.499746,-1.003803,-2.275107,0.401464,-0.010346,0.000102,-0.009380,-0.000148,0.004438,0.001155
1706.512000,-0.130364,0.110010,0.499680,-1.003758,-2.275021,0.401484,-0.012317,0.000660,-0.011666,0.005552,0.000911,-0.002848
1706.520000,-0.130456,0.110012,0.499596,-1.003717,-2.274913,0.401473,-0.014275,-0.000083,-0.012696,0.005550,0.002949,0.003091
1706.528000,-0.130578,0.110013,0.499485,-1.003718,-2.274932,0.401484,-0.015010,0.000339,-0.013927,0.002748,0.003525,0.000138
1706.536000,-0.130715,0.110017,0.499359,-1.003753,-2.274890,0.401487,-0.019432,-0.000750,-0.017079,0.001543,-0.001094,0.009169
1706.544000,-0.130883,0.110012,0.499211,-1.003700,-2.274986,0.401487,-0.019719,-0.000131,-0.018011,0.001488,-0.002028,0.004566
1706.552000,-0.131039,0.110020,0.499053,-1.003830,-2.275001,0.401425,-0.021106,0.000614,-0.019812,-0.007021,-0.004435,-0.013165
1706.560000,-0.131222,0.110011,0.498881,-1.003794,-2.275115,0.401403,-0.023785,-0.000496,-0.021490,0.001273,-0.007782,0.002540
1706.568000,-0.131406,0.110017,0.498699,-1.003887,-2.275153,0.401374,-0.022796,0.000607,-0.020840,-0.000490,0.003462,-0.005831
1706.576000,-0.131615,0.110011,0.498497,-1.003791,-2.275286,0.401326,-0.025921,-0.000839,-0.024564,-0.000548,-0.007747,0.007942
1706.584000,-0.131824,0.110015,0.498311,-1.003865,-2.275257,0.401328,-0.027149,0.000708,-0.024673,0.006267,-0.001459,-0.001222
1706.592000,-0.132016,0.110019,0.498132,-1.003925,-2.275114,0.401340,-0.027342,0.000189,-0.024739,-0.001108,0.003314,-0.008072
1706.600000,-0.132270,0.110010,0.497916,-1.003800,-2.275220,0.401365,-0.029259,0.000241,-0.025753,-0.000475,0.005917,-0.001197
1706.608000,-0.132495,0.110021,0.497707,-1.003842,-2.275118,0.401355,-0.032002,-0.000370,-0.028435,-0.000463,0.000165,0.005767
1706.616000,-0.132738,0.110022,0.497483,-1.003822,-2.275036,0.401284,-0.032362,0.000388,-0.029643,0.001644,0.001762,-0.011099
1706.624000,-0.133017,0.110018,0.497239,-1.003821,-2.275053,0.401344,-0.036471,0.000032,-0.032422,-0.001058,-0.008397,-0.000169
1706.632000,-0.133287,0.110022,0.496970,-1.003809,-2.275090,0.401352,-0.036417,-0.000957,-0.032862,-0.000691,-0.000090,0.010248
1706.640000,-0.133583,0.110024,0.496701,-1.003890,-2.275059,0.401347,-0.038586,0.001497,-0.034724,0.003429,-0.009167,-0.016835
1706.648000,-0.133900,0.110029,0.496414,-1.003945,-2.275102,0.401312,-0.040481,-0.001716,-0.034894,-0.000351,0.000651,0.012723
1706.656000,-0.134203,0.110019,0.496119,-1.003852,-2.275161,0.401377,-0.038136,0.000157,-0.036212,0.000496,0.005211,0.003259
1706.664000,-0.134547,0.110026,0.495822,-1.003992,-2.275116,0.401285,-0.044698,-0.000748,-0.038969,0.001297,-0.011445,-0.003837
1706.672000,-0.134869,0.110030,0.495494,-1.004008,-2.275164,0.401262,-0.039870,0.000826,-0.038113,0.002098,0.006862,-0.004587
1706.680000,-0.135227,0.110021,0.495171,-1.003886,-2.275274,0.401312,-0.046479,-0.001434,-0.040392,0.000190,-0.005988,0.014458
1706.688000,-0.135573,0.110026,0.494860,-1.003984,-2.275094,0.401349,-0.041831,0.001745,-0.040735,0.000288,0.004327,-0.020064
1706.696000,-0.135949,0.110020,0.494532,-1.003839,-2.275128,0.401307,-0.050961,-0.000652,-0.043905,-0.000074,-0.006065,0.006568
1706.704000,-0.136307,0.110017,0.494204,-1.003785,-2.275029,0.401433,-0.045782,-0.001071,-0.041747,-0.001640,0.017047,0.009129
1706.712000,-0.136701,0.110023,0.493847,-1.003915,-2.274945,0.401395,-0.051931,0.001055,-0.045860,0.003613,-0.005910,-0.013600
1706.720000,-0.137109,0.110016,0.493470,-1.003814,-2.275057,0.401436,-0.050641,-0.001332,-0.046349,-0.000332,0.004594,0.010479
1706.728000,-0.137506,0.110016,0.493121,-1.003816,-2.274904,0.401537,-0.052334,0.000238,-0.046276,-0.008734,0.010170,-0.006448
1706.736000,-0.137943,0.110018,0.492726,-1.003825,-2.274892,0.401455,-0.054980,0.000413,-0.049390,0.007622,0.002059,-0.004331
1706.744000,-0.138377,0.110015,0.492337,-1.003726,-2.274862,0.401549,-0.056643,-0.000257,-0.051575,0.000348,-0.001065,0.005611
1706.752000,-0.138859,0.110018,0.491887,-1.003927,-2.274989,0.401474,-0.057598,0.000687,-0.052879,-0.001432,-0.008964,-0.012690
1706.760000,-0.139302,0.110013,0.491465,-1.003902,-2.275108,0.401424,-0.056319,-0.000085,-0.050035,0.006853,0.002939,0.001184
1706.768000,-0.139791,0.110000,0.491046,-1.003753,-2.275189,0.401534,-0.056370,-0.000632,-0.050853,-0.004222,0.000820,0.009864
1706.776000,-0.140239,0.110008,0.490639,-1.003841,-2.275208,0.401446,-0.056497,0.000777,-0.050703,0.002729,-0.000534,-0.015627
1706.784000,-0.140705,0.110005,0.490215,-1.003832,-2.275209,0.401463,-0.056460,0.000246,-0.051425,-0.001716,-0.003939,-0.004931
1706.792000,-0.141145,0.110001,0.489812,-1.003744,-2.275270,0.401481,-0.056229,-0.000649,-0.050019,-0.001068,0.002039,0.008712
1706.800000,-0.141590,0.110005,0.489432,-1.003765,-2.275167,0.401462,-0.054670,0.000944,-0.048952,0.005223,0.009931,-0.014981
1706.808000,-0.142022,0.110006,0.489039,-1.003807,-2.275097,0.401515,-0.056418,-0.000218,-0.051452,-0.002069,-0.005633,0.001722
1706.816000,-0.142453,0.109997,0.488634,-1.003645,-2.275126,0.401552,-0.054729,-0.000569,-0.049853,-0.000889,0.003819,0.007385
1706.824000,-0.142913,0.110008,0.488211,-1.003833,-2.275167,0.401442,-0.055371,0.000397,-0.049851,-0.001498,0.002495,-0.010834
1706.832000,-0.143345,0.110000,0.487842,-1.003713,-2.275025,0.401613,-0.055783,-0.000669,-0.050594,-0.006530,-0.000664,0.001221
1706.840000,-0.143778,0.110001,0.487461,-1.003597,-2.274953,0.401595,-0.055724,0.001237,-0.050510,0.011428,0.001410,-0.006109
1706.848000,-0.144226,0.110004,0.487041,-1.003651,-2.274971,0.401564,-0.056042,-0.000420,-0.051000,-0.006996,-0.001570,-0.003829
1706.856000,-0.144677,0.109997,0.486614,-1.003672,-2.275053,0.401640,-0.056101,-0.000189,-0.052716,-0.003787,-0.009232,0.001128
1706.864000,-0.145137,0.110001,0.486187,-1.003702,-2.275140,0.401482,-0.056101,0.000655,-0.051390,0.010443,-0.002591,-0.001968
1706.872000,-0.145577,0.109997,0.485777,-1.003751,-2.275154,0.401554,-0.055903,-0.000239,-0.050625,-0.006539,-0.004443,-0.005937
1706.880000,-0.146048,0.109991,0.485371,-1.003644,-2.275219,0.401555,-0.056283,0.000215,-0.052066,-0.001915,-0.006676,0.000602
1706.888000,-0.146483,0.110002,0.484951,-1.003727,-2.275296,0.401402,-0.056073,0.000092,-0.050198,0.011360,-0.000232,0.001797
1706.896000,-0.146937,0.109999,0.484540,-1.003858,-2.275265,0.401495,-0.056220,0.000339,-0.052688,-0.008464,-0.010198,-0.010146
1706.904000,-0.147389,0.109998,0.484149,-1.003768,-2.275322,0.401494,-0.056102,-0.001584,-0.048794,-0.001665,0.007972,0.012950
1706.912000,-0.147821,0.109994,0.483772,-1.003681,-2.275203,0.401498,-0.054650,0.001460,-0.048979,0.004341,0.007656,-0.013833
1706.920000,-0.148266,0.109994,0.483354,-1.003751,-2.275251,0.401517,-0.056377,-0.001081,-0.050683,-0.002771,0.000268,0.004811
1706.928000,-0.148703,0.110001,0.482963,-1.003743,-2.275171,0.401493,-0.054091,0.001324,-0.049676,0.005174,0.002958,-0.006598
1706.936000,-0.149117,0.110008,0.482581,-1.003751,-2.275086,0.401488,-0.055556,-0.000366,-0.049884,-0.000716,0.000169,-0.000471
1706.944000,-0.149571,0.110000,0.482181,-1.003726,-2.275128,0.401532,-0.055651,-0.000368,-0.049908,-0.004254,0.004941,0.000789
1706.952000,-0.150008,0.110005,0.481788,-1.003662,-2.275062,0.401527,-0.055339,0.000412,-0.050356,0.001338,0.000584,-0.002183
1706.960000,-0.150454,0.110007,0.481379,-1.003741,-2.275027,0.401487,-0.055578,0.000215,-0.049846,-0.000240,0.003623,-0.006235
1706.968000,-0.150913,0.109998,0.480953,-1.003714,-2.275105,0.401581,-0.055963,0.000117,-0.052149,-0.001541,-0.006915,-0.000387
1706.976000,-0.151377,0.109996,0.480537,-1.003644,-2.275176,0.401552,-0.056035,-0.001525,-0.049295,-0.003152,0.004762,0.011002
1706.984000,-0.151840,0.110004,0.480125,-1.003763,-2.275157,0.401479,-0.055079,0.002058,-0.051324,0.007443,-0.004655,-0.019824
1706.992000,-0.152285,0.109997,0.479716,-1.003779,-2.275210,0.401537,-0.056541,-0.001719,-0.050967,-0.004819,-0.006573,0.007435
1707.000000,-0.152729,0.109997,0.479312,-1.003677,-2.275246,0.401470,-0.054428,0.001463,-0.049964,0.005424,-0.000410,-0.011161
1707.008000,-0.153167,0.109998,0.478920,-1.003628,-2.275201,0.401460,-0.056099,-0.000951,-0.049589,0.008381,0.003788,0.007858
1707.016000,-0.153613,0.109995,0.478506,-1.003710,-2.275255,0.401536,-0.054305,0.000939,-0.050394,-0.005934,-0.000329,-0.010525
1707.024000,-0.154046,0.109999,0.478124,-1.003685,-2.275109,0.401556,-0.055313,-0.001301,-0.048667,-0.003974,0.007271,0.007842
1707.032000,-0.154482,0.110009,0.477725,-1.003672,-2.275111,0.401450,-0.053670,0.001669,-0.048286,0.007069,0.008973,-0.009219
