timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
864.448000,-0.200016,0.109992,0.200038,1.349834,2.820068,-0.000126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
864.464000,-0.200011,0.109988,0.200023,1.349830,2.820016,-0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
864.464000,-0.200011,0.109988,0.200023,1.349830,2.820016,-0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
864.480000,-0.200014,0.109996,0.200034,1.349917,2.820022,-0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
864.520000,-0.200065,0.109994,0.200063,1.349966,2.820172,-0.000242,-0.006276,-0.000071,0.004657,-0.000312,0.026608,0.000016
864.520000,-0.200065,0.109994,0.200063,1.349966,2.820172,-0.000242,-0.006276,-0.000071,0.004657,-0.000312,0.026608,0.000016
864.536000,-0.200168,0.109995,0.200096,1.350033,2.820317,-0.000327,-0.007721,-0.000074,-0.000765,-0.000240,0.003258,0.000008
864.536000,-0.200168,0.109995,0.200096,1.350033,2.820317,-0.000327,-0.007721,-0.000074,-0.000765,-0.000240,0.003258,0.000008
864.552000,-0.200306,0.109990,0.200089,1.349963,2.820344,-0.000392,-0.010012,-0.000110,-0.001472,-0.000277,-0.009024,0.000074
864.560000,-0.200407,0.109989,0.200080,1.350030,2.820357,-0.000386,-0.012381,-0.000123,-0.002365,-0.000349,-0.004796,0.000039
864.568000,-0.200513,0.109990,0.200057,1.350026,2.820261,-0.000325,-0.016352,-0.000180,0.000207,-0.000518,0.000993,0.000102
864.576000,-0.200640,0.109989,0.200024,1.349933,2.820112,-0.000243,-0.017797,-0.000194,-0.000758,-0.000542,-0.003690,0.000111
