timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
10494.128000,-0.122458,0.110008,0.257351,-2.181473,-2.213621,0.044779,0.000002,-0.000002,0.000003,-0.000025,-0.000024,-0.000023
10494.144000,-0.122454,0.110013,0.257351,-2.181501,-2.213570,0.044752,0.000002,-0.000002,0.000003,-0.000025,-0.000024,-0.000023
10494.152000,-0.122455,0.110004,0.257350,-2.181480,-2.213603,0.044820,0.000002,-0.000002,0.000003,-0.000025,-0.000024,-0.000023
10494.160000,-0.122455,0.110007,0.257338,-2.181574,-2.213619,0.044701,0.000002,-0.000002,0.000003,-0.000025,-0.000024,-0.000023
10494.168000,-0.122460,0.110008,0.257350,-2.181465,-2.213641,0.044765,0.000002,-0.000002,0.000003,-0.000025,-0.000024,-0.000023
10494.176000,-0.122454,0.110007,0.257333,-2.181542,-2.213639,0.044688,0.000000,-0.000002,0.000005,-0.000025,-0.000000,-0.000023
10494.184000,-0.122453,0.110004,0.257339,-2.181511,-2.213608,0.044780,0.000000,-0.000002,0.000005,-0.000025,-0.000000,-0.000023
10494.192000,-0.122459,0.110006,0.257333,-2.181521,-2.213670,0.044701,0.000000,-0.000002,0.000005,-0.000025,-0.000000,-0.000023
10494.200000,-0.122453,0.110010,0.257328,-2.181612,-2.213605,0.044674,0.000000,-0.000002,0.000005,-0.000025,-0.000000,-0.000023
10494.208000,-0.122460,0.110003,0.257346,-2.181442,-2.213642,0.044742,-0.000003,-0.000002,0.000009,-0.000026,0.000048,-0.000023
10494.216000,-0.122456,0.110007,0.257351,-2.181430,-2.213604,0.044793,-0.000003,-0.000002,0.000009,-0.000026,0.000048,-0.000023
10494.224000,-0.122453,0.110007,0.257339,-2.181518,-2.213613,0.044741,-0.000003,-0.000002,0.000009,-0.000026,0.000048,-0.000023
10494.232000,-0.122462,0.110008,0.257353,-2.181490,-2.213533,0.044858,-0.001059,-0.000016,0.001205,-0.000220,0.013493,-0.000040
10494.240000,-0.122464,0.110007,0.257369,-2.181428,-2.213496,0.044989,-0.000722,-0.000011,0.000824,-0.000158,0.009203,-0.000035
10494.248000,-0.122465,0.110014,0.257364,-2.181462,-2.213476,0.044870,-0.000462,-0.000008,0.000529,-0.000110,0.005895,-0.000030
10494.256000,-0.122457,0.110013,0.257344,-2.181566,-2.213505,0.044831,-0.000269,-0.000006,0.000310,-0.000074,0.003427,-0.000027
10494.264000,-0.122462,0.110013,0.257357,-2.181474,-2.213488,0.044896,-0.000190,-0.000004,0.000220,-0.000060,0.002420,-0.000026
10494.272000,-0.122472,0.110003,0.257371,-2.181412,-2.213561,0.044963,-0.000146,-0.000004,0.000171,-0.000052,0.001869,-0.000025
10494.280000,-0.122470,0.110008,0.257355,-2.181428,-2.213547,0.044832,-0.000344,-0.000006,-0.000121,-0.000024,-0.000638,-0.000024
10494.288000,-0.122472,0.110008,0.257346,-2.181541,-2.213532,0.044807,-0.000327,-0.000006,-0.000140,-0.000021,-0.000854,-0.000023
10494.296000,-0.122468,0.110012,0.257355,-2.181550,-2.213462,0.044871,-0.000264,-0.000005,-0.000102,-0.000023,-0.000585,-0.000023
10494.304000,-0.122481,0.110008,0.257348,-2.181519,-2.213589,0.044767,-0.000900,-0.000012,-0.000857,0.000043,-0.006841,-0.000020
10494.312000,-0.122483,0.110009,0.257342,-2.181496,-2.213564,0.044793,-0.000374,-0.000006,-0.000383,0.000007,-0.003135,-0.000021
10494.320000,-0.122488,0.110010,0.257351,-2.181401,-2.213573,0.044857,-0.000702,-0.000011,0.000132,-0.000071,0.002444,-0.000028
10494.328000,-0.122499,0.110007,0.257351,-2.181446,-2.213540,0.044924,-0.001385,-0.000019,-0.000035,-0.000080,0.001984,-0.000031
10494.336000,-0.122502,0.110010,0.257363,-2.181427,-2.213522,0.044936,-0.001038,-0.000015,0.000180,-0.000092,0.003484,-0.000031
10494.344000,-0.122500,0.110010,0.257363,-2.181455,-2.213470,0.044964,-0.000556,-0.000009,0.000068,-0.000057,0.001572,-0.000027
10494.352000,-0.122512,0.110008,0.257343,-2.181462,-2.213610,0.044779,-0.001361,-0.000017,-0.001087,0.000051,-0.008288,-0.000021
10494.360000,-0.122511,0.110011,0.257352,-2.181505,-2.213495,0.044859,-0.000514,-0.000008,-0.000218,-0.000019,-0.001338,-0.000024
10494.368000,-0.122533,0.110002,0.257376,-2.181368,-2.213569,0.044978,-0.000671,-0.000022,0.001439,-0.000108,0.004630,0.000011
10494.376000,-0.122537,0.110009,0.257371,-2.181518,-2.213457,0.044965,-0.001882,-0.000036,0.001450,-0.000162,0.006810,0.000003
10494.384000,-0.122545,0.110001,0.257381,-2.181321,-2.213520,0.045083,-0.001352,-0.000027,0.001669,-0.000207,0.011446,-0.000012
10494.392000,-0.122541,0.110010,0.257375,-2.181450,-2.213466,0.044977,-0.001297,-0.000022,-0.000592,0.000051,-0.008504,-0.000001
10494.400000,-0.122551,0.110004,0.257378,-2.181417,-2.213486,0.045018,-0.001281,-0.000022,0.000565,-0.000106,0.003891,-0.000017
10494.408000,-0.122569,0.110003,0.257399,-2.181248,-2.213472,0.045162,-0.001069,-0.000019,0.001359,-0.000204,0.011983,-0.000027
10494.416000,-0.122577,0.110003,0.257397,-2.181293,-2.213465,0.045124,-0.002229,-0.000030,-0.000995,0.000032,-0.008428,-0.000015
10494.424000,-0.122578,0.110008,0.257369,-2.181356,-2.213500,0.044965,-0.000340,-0.000009,0.000643,-0.000093,0.004601,-0.000020
10494.432000,-0.122585,0.110005,0.257378,-2.181436,-2.213480,0.045006,-0.002058,-0.000027,-0.001580,0.000104,-0.013777,-0.000011
10494.440000,-0.122592,0.110005,0.257383,-2.181341,-2.213488,0.045096,-0.001572,-0.000023,0.000673,-0.000156,0.007496,-0.000030
10494.448000,-0.122601,0.110006,0.257382,-2.181322,-2.213495,0.045083,-0.001154,-0.000018,0.000832,-0.000160,0.008517,-0.000030
10494.456000,-0.122610,0.110005,0.257366,-2.181423,-2.213518,0.044979,-0.001942,-0.000026,-0.001054,0.000038,-0.008317,-0.000018
10494.464000,-0.122615,0.110007,0.257358,-2.181437,-2.213504,0.044927,-0.000640,-0.000011,0.000064,-0.000045,0.000412,-0.000021
