timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
10867.720000,-0.122454,0.102139,0.257337,-2.103088,-2.286835,0.042842,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.728000,-0.122453,0.102139,0.257336,-2.103038,-2.286891,0.042827,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.736000,-0.122453,0.102139,0.257336,-2.103038,-2.286891,0.042827,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.752000,-0.122460,0.102140,0.257357,-2.102969,-2.286841,0.042910,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.776000,-0.122459,0.102132,0.257345,-2.103008,-2.286887,0.042896,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.784000,-0.122461,0.102136,0.257355,-2.102952,-2.286879,0.042884,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.792000,-0.122457,0.102136,0.257352,-2.103038,-2.286836,0.042922,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.800000,-0.122453,0.102143,0.257343,-2.103040,-2.286865,0.042853,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.808000,-0.122452,0.102140,0.257347,-2.103048,-2.286848,0.042945,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.816000,-0.122458,0.102137,0.257340,-2.103036,-2.286860,0.042843,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.824000,-0.122452,0.102139,0.257346,-2.103013,-2.286891,0.042854,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.832000,-0.122458,0.102136,0.257352,-2.103005,-2.286855,0.042910,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.840000,-0.122451,0.102138,0.257363,-2.103047,-2.286793,0.042989,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.848000,-0.122457,0.102138,0.257350,-2.103029,-2.286798,0.042925,0.000005,0.000000,-0.000007,0.000003,-0.000029,-0.000000
10867.856000,-0.122457,0.102142,0.257350,-2.103048,-2.286791,0.042884,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.864000,-0.122461,0.102137,0.257337,-2.103055,-2.286854,0.042856,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.872000,-0.122461,0.102138,0.257348,-2.103016,-2.286867,0.042856,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.880000,-0.122461,0.102136,0.257346,-2.103027,-2.286880,0.042881,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.888000,-0.122458,0.102135,0.257354,-2.103024,-2.286849,0.042948,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.896000,-0.122463,0.102136,0.257343,-2.103002,-2.286879,0.042856,0.000003,0.000000,-0.000009,0.000004,-0.000048,-0.000000
10867.904000,-0.122467,0.102134,0.257353,-2.102977,-2.286880,0.042884,-0.000075,-0.000006,-0.000095,0.000064,-0.000793,0.000000
10867.912000,-0.122460,0.102138,0.257335,-2.103066,-2.286866,0.042828,-0.000075,-0.000006,-0.000095,0.000063,-0.000793,0.000000
10867.920000,-0.122468,0.102139,0.257351,-2.103032,-2.286829,0.042909,-0.000075,-0.000006,-0.000095,0.000063,-0.000793,0.000000
10867.928000,-0.122469,0.102137,0.257346,-2.103010,-2.286860,0.042870,-0.000134,-0.000011,-0.000158,0.000108,-0.001348,0.000000
10867.936000,-0.122476,0.102138,0.257343,-2.103038,-2.286835,0.042818,-0.000663,-0.000053,-0.000733,0.000509,-0.006375,0.000003
10867.944000,-0.122482,0.102132,0.257368,-2.102911,-2.286862,0.043006,-0.000371,-0.000030,-0.000220,0.000127,-0.001639,-0.000000
10867.952000,-0.122484,0.102132,0.257355,-2.102961,-2.286862,0.042952,-0.000680,-0.000056,0.000337,-0.000372,0.004351,-0.000006
10867.960000,-0.122477,0.102144,0.257366,-2.102994,-2.286704,0.043047,-0.000580,-0.000047,0.000224,-0.000266,0.003085,-0.000005
10867.968000,-0.122482,0.102141,0.257373,-2.102973,-2.286736,0.043058,-0.000497,-0.000040,-0.000014,-0.000059,0.000587,-0.000002
10867.976000,-0.122480,0.102140,0.257367,-2.103004,-2.286743,0.043019,-0.000432,-0.000035,-0.000082,0.000009,-0.000225,-0.000001
10867.984000,-0.122493,0.102133,0.257366,-2.102930,-2.286856,0.043017,-0.000406,-0.000033,-0.000116,0.000041,-0.000603,-0.000001
10867.992000,-0.122497,0.102133,0.257368,-2.102960,-2.286806,0.043045,-0.000485,-0.000039,-0.000201,0.000100,-0.001348,-0.000001
10868.000000,-0.122516,0.102124,0.257399,-2.102858,-2.286834,0.043154,-0.001672,-0.000172,0.004605,-0.001250,0.014461,0.000111
10868.008000,-0.122519,0.102132,0.257431,-2.102850,-2.286660,0.043292,-0.000616,-0.000050,-0.000052,-0.000040,0.000324,-0.000002
10868.016000,-0.122524,0.102129,0.257424,-2.102828,-2.286691,0.043331,-0.001246,-0.000127,0.003678,-0.001306,0.015366,0.000070
10868.024000,-0.122531,0.102128,0.257431,-2.102784,-2.286698,0.043346,-0.001755,-0.000157,0.001746,-0.000574,0.006403,0.000040
10868.032000,-0.122534,0.102130,0.257425,-2.102834,-2.286697,0.043291,-0.000748,-0.000061,0.000022,-0.000118,0.001241,-0.000004
