timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
7102.824000,-0.122451,0.102140,0.257317,-2.103170,-2.286873,0.042939,-0.000000,0.000000,0.000010,-0.000024,0.000003,-0.000018
7102.832000,-0.122453,0.102139,0.257321,-2.103115,-2.286923,0.042912,-0.000000,0.000000,0.000010,-0.000024,0.000003,-0.000018
7102.848000,-0.122450,0.102141,0.257336,-2.103081,-2.286829,0.042984,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.872000,-0.122449,0.102136,0.257325,-2.103076,-2.286937,0.042966,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.880000,-0.122454,0.102137,0.257332,-2.103079,-2.286912,0.042993,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.888000,-0.122445,0.102139,0.257325,-2.103095,-2.286930,0.042977,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.896000,-0.122454,0.102141,0.257329,-2.103029,-2.286910,0.042941,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.904000,-0.122453,0.102139,0.257331,-2.103048,-2.286905,0.042980,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.912000,-0.122445,0.102138,0.257327,-2.103131,-2.286886,0.042992,0.000001,0.000000,0.000003,-0.000022,-0.000021,-0.000018
7102.920000,-0.122449,0.102141,0.257333,-2.103103,-2.286856,0.043032,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.928000,-0.122455,0.102136,0.257333,-2.103038,-2.286893,0.043009,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.936000,-0.122449,0.102142,0.257330,-2.103109,-2.286861,0.042967,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.944000,-0.122449,0.102136,0.257336,-2.103062,-2.286894,0.043034,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.952000,-0.122454,0.102140,0.257338,-2.103031,-2.286886,0.042995,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.960000,-0.122451,0.102142,0.257336,-2.103078,-2.286854,0.042956,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.968000,-0.122460,0.102137,0.257354,-2.103012,-2.286837,0.043052,-0.000001,-0.000002,0.000003,-0.000022,-0.000021,0.000001
7102.976000,-0.122466,0.102136,0.257343,-2.103037,-2.286893,0.042983,-0.000144,-0.000014,-0.000152,0.000086,-0.001378,0.000002
7102.984000,-0.122467,0.102130,0.257347,-2.102994,-2.286900,0.043025,-0.000380,-0.000031,-0.000408,0.000288,-0.003613,0.000002
