timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
7598.184000,-0.122456,0.110001,0.257382,-2.181506,-2.213583,0.045067,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.192000,-0.122454,0.110007,0.257360,-2.181580,-2.213631,0.044908,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.208000,-0.122453,0.110007,0.257370,-2.181529,-2.213633,0.044960,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.208000,-0.122453,0.110007,0.257370,-2.181529,-2.213633,0.044960,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.240000,-0.122451,0.110001,0.257359,-2.181592,-2.213644,0.044936,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.248000,-0.122450,0.110004,0.257368,-2.181510,-2.213639,0.044974,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.256000,-0.122454,0.110007,0.257362,-2.181550,-2.213626,0.044895,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.264000,-0.122452,0.110011,0.257364,-2.181593,-2.213536,0.044896,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
7598.272000,-0.122453,0.110007,0.257354,-2.181625,-2.213624,0.044869,0.000004,0.000000,0.000000,0.000000,-0.000005,0.000000
