timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5
5477.096000,-0.122441,0.110006,0.257340,-2.181489,-2.213721,0.044828,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.112000,-0.122449,0.110000,0.257335,-2.181487,-2.213772,0.044804,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.112000,-0.122449,0.110000,0.257335,-2.181487,-2.213772,0.044804,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.144000,-0.122447,0.110004,0.257351,-2.181516,-2.213671,0.044908,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.152000,-0.122451,0.109995,0.257345,-2.181462,-2.213749,0.044910,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.160000,-0.122449,0.109998,0.257339,-2.181461,-2.213773,0.044856,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.160000,-0.122449,0.109998,0.257339,-2.181461,-2.213773,0.044856,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.168000,-0.122453,0.109998,0.257358,-2.181399,-2.213737,0.044962,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.168000,-0.122453,0.109998,0.257358,-2.181399,-2.213737,0.044962,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.192000,-0.122440,0.110004,0.257352,-2.181517,-2.213645,0.044934,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.200000,-0.122452,0.110001,0.257358,-2.181458,-2.213691,0.044974,0.000000,-0.000000,0.000005,-0.000000,-0.000000,0.000000
5477.208000,-0.122445,0.110001,0.257352,-2.181473,-2.213735,0.044960,-0.000001,-0.000000,0.000012,-0.000000,0.000024,0.000000
5477.216000,-0.122462,0.110001,0.257380,-2.181411,-2.213643,0.045002,-0.000421,-0.000021,0.002152,-0.000113,0.007142,0.000048
5477.224000,-0.122466,0.109997,0.257407,-2.181317,-2.213602,0.045173,-0.000332,-0.000017,0.001697,-0.000089,0.005632,0.000038
5477.232000,-0.122472,0.109998,0.257395,-2.181330,-2.213614,0.045120,-0.001339,-0.000024,0.001948,-0.000220,0.014523,0.000006
5477.240000,-0.122470,0.110000,0.257400,-2.181286,-2.213621,0.045132,-0.000854,-0.000016,0.001173,-0.000126,0.008100,0.000007
5477.248000,-0.122475,0.109997,0.257413,-2.181336,-2.213595,0.045237,-0.000259,-0.000007,0.000374,-0.000014,0.000383,0.000013
5477.256000,-0.122475,0.109998,0.257409,-2.181323,-2.213608,0.045211,-0.000259,-0.000006,0.000276,-0.000008,-0.000034,0.000011
5477.264000,-0.122486,0.109995,0.257410,-2.181298,-2.213609,0.045239,-0.000259,-0.000006,0.000276,-0.000008,-0.000034,0.000011
5477.272000,-0.122480,0.110003,0.257404,-2.181326,-2.213557,0.045184,-0.000334,-0.000007,0.000190,-0.000001,-0.000743,0.000012
5477.280000,-0.122484,0.110002,0.257422,-2.181325,-2.213558,0.045211,-0.000334,-0.000007,0.000190,-0.000001,-0.000743,0.000012
5477.288000,-0.122482,0.110005,0.257413,-2.181352,-2.213531,0.045185,-0.000455,-0.000010,0.000586,-0.000041,0.002190,0.000013
5477.296000,-0.122494,0.109996,0.257445,-2.181283,-2.213490,0.045409,-0.000711,-0.000023,0.001972,-0.000115,0.006859,0.000043
5477.304000,-0.122505,0.109999,0.257460,-2.181247,-2.213479,0.045383,-0.001195,-0.000028,0.001770,-0.000123,0.006748,0.000037
5477.312000,-0.122509,0.109995,0.257472,-2.181170,-2.213481,0.045515,-0.000811,-0.000018,0.001176,-0.000092,0.005330,0.000020
5477.320000,-0.122518,0.110000,0.257460,-2.181243,-2.213448,0.045397,-0.000644,-0.000016,0.001116,-0.000077,0.004453,0.000022
5477.328000,-0.122518,0.110002,0.257474,-2.181301,-2.213376,0.045488,-0.000865,-0.000018,0.000817,-0.000050,0.001931,0.000023
5477.336000,-0.122530,0.109996,0.257481,-2.181132,-2.213470,0.045593,-0.000840,-0.000016,0.000848,-0.000079,0.004429,0.000012
5477.344000,-0.122531,0.109996,0.257486,-2.181166,-2.213425,0.045580,-0.001334,-0.000045,0.004066,-0.000252,0.015721,0.000080
5477.352000,-0.122551,0.109995,0.257527,-2.181125,-2.213333,0.045753,-0.001755,-0.000039,0.001747,-0.000098,0.003585,0.000052
5477.360000,-0.122546,0.110003,0.257541,-2.181035,-2.213264,0.045815,-0.001418,-0.000029,0.001761,-0.000154,0.008992,0.000026
5477.368000,-0.122554,0.109996,0.257534,-2.181047,-2.213278,0.045870,-0.001046,-0.000024,0.001876,-0.000153,0.009466,0.000027
5477.376000,-0.122563,0.109998,0.257541,-2.181015,-2.213298,0.045830,-0.000656,-0.000015,0.001110,-0.000086,0.005196,0.000018
5477.384000,-0.122567,0.109999,0.257547,-2.181083,-2.213290,0.045843,-0.001157,-0.000020,0.000207,-0.000007,-0.001846,0.000019
5477.392000,-0.122582,0.110001,0.257600,-2.180982,-2.213135,0.046118,-0.001642,-0.000045,0.003565,-0.000240,0.014547,0.000068
5477.400000,-0.122601,0.109997,0.257606,-2.180862,-2.213171,0.046133,-0.001646,-0.000039,0.003265,-0.000282,0.018156,0.000039
5477.408000,-0.122606,0.109989,0.257610,-2.180867,-2.213178,0.046200,-0.001973,-0.000032,0.000770,-0.000084,0.002693,0.000020
5477.416000,-0.122609,0.109992,0.257615,-2.180808,-2.213224,0.046185,-0.001242,-0.000022,0.000767,-0.000069,0.002818,0.000018
5477.424000,-0.122615,0.109999,0.257644,-2.180848,-2.213052,0.046278,-0.000584,-0.000029,0.002998,-0.000157,0.009945,0.000066
5477.432000,-0.122625,0.109999,0.257657,-2.180831,-2.213008,0.046370,-0.002239,-0.000038,0.000851,-0.000078,0.001595,0.000029
5477.440000,-0.122638,0.109995,0.257661,-2.180733,-2.213069,0.046409,-0.001519,-0.000040,0.003106,-0.000217,0.013080,0.000057
5477.448000,-0.122642,0.109994,0.257675,-2.180664,-2.213077,0.046423,-0.001144,-0.000027,0.002034,-0.000166,0.010291,0.000030
5477.456000,-0.122654,0.109996,0.257676,-2.180762,-2.213018,0.046384,-0.001687,-0.000029,0.000347,-0.000014,-0.002354,0.000028
5477.464000,-0.122664,0.109996,0.257727,-2.180728,-2.212881,0.046647,-0.001013,-0.000032,0.002373,-0.000115,0.006015,0.000063
5477.472000,-0.122677,0.109998,0.257725,-2.180679,-2.212882,0.046646,-0.002190,-0.000042,0.003400,-0.000359,0.023510,0.000020
5477.480000,-0.122685,0.109997,0.257748,-2.180700,-2.212800,0.046792,-0.002056,-0.000045,0.002368,-0.000159,0.007750,0.000056
5477.488000,-0.122702,0.109991,0.257764,-2.180553,-2.212862,0.046806,-0.001283,-0.000029,0.001860,-0.000144,0.008301,0.000033
5477.496000,-0.122705,0.109990,0.257781,-2.180546,-2.212856,0.046846,-0.001768,-0.000044,0.002440,-0.000129,0.005669,0.000069
5477.504000,-0.122716,0.109998,0.257802,-2.180634,-2.212709,0.046936,-0.001936,-0.000041,0.002781,-0.000233,0.013943,0.000042
5477.512000,-0.122734,0.109993,0.257814,-2.180482,-2.212739,0.047042,-0.001695,-0.000032,0.002208,-0.000227,0.014245,0.000018
5477.520000,-0.122754,0.109988,0.257855,-2.180412,-2.212724,0.047162,-0.002669,-0.000063,0.003207,-0.000167,0.006546,0.000095
5477.528000,-0.122764,0.109992,0.257865,-2.180340,-2.212674,0.047213,-0.002748,-0.000076,0.006667,-0.000490,0.031102,0.000107
5477.536000,-0.122775,0.109996,0.257889,-2.180343,-2.212573,0.047370,-0.003090,-0.000057,0.002179,-0.000181,0.007697,0.000052
5477.544000,-0.122784,0.109990,0.257899,-2.180354,-2.212612,0.047345,-0.002796,-0.000107,0.009883,-0.000548,0.033627,0.000216
5477.552000,-0.122803,0.109989,0.257942,-2.180270,-2.212502,0.047531,-0.001933,-0.000049,0.002775,-0.000137,0.005804,0.000081
5477.560000,-0.122819,0.109995,0.257940,-2.180292,-2.212444,0.047568,-0.004933,-0.000132,0.010772,-0.000767,0.047388,0.000188
5477.568000,-0.122836,0.109991,0.257964,-2.180160,-2.212468,0.047634,-0.001181,-0.000026,0.001797,-0.000148,0.008833,0.000028
5477.576000,-0.122849,0.109988,0.257977,-2.180178,-2.212462,0.047650,-0.003330,-0.000074,0.002801,-0.000102,0.000099,0.000113
5477.584000,-0.122859,0.109991,0.258014,-2.180120,-2.212324,0.047910,-0.004689,-0.000147,0.013622,-0.000923,0.058935,0.000239
5477.592000,-0.122876,0.109994,0.258032,-2.180095,-2.212300,0.047937,-0.002431,-0.000020,-0.002601,0.000134,-0.014174,-0.000024
5477.600000,-0.122895,0.109992,0.258069,-2.180021,-2.212253,0.048068,-0.001813,-0.000059,0.004846,-0.000276,0.016277,0.000108
5477.608000,-0.122911,0.109987,0.258092,-2.179925,-2.212155,0.048306,-0.006149,-0.000187,0.015779,-0.001005,0.061326,0.000312
5477.616000,-0.122933,0.109992,0.258122,-2.179881,-2.212138,0.048318,-0.002248,-0.000048,0.002415,-0.000160,0.007328,0.000061
5477.624000,-0.122950,0.109987,0.258132,-2.179812,-2.212147,0.048359,-0.000516,-0.000011,0.001055,-0.000105,0.007094,0.000007
5477.632000,-0.122973,0.109984,0.258173,-2.179808,-2.212067,0.048531,-0.003396,-0.000076,0.004065,-0.000262,0.012485,0.000100
5477.640000,-0.122975,0.109988,0.258183,-2.179795,-2.211972,0.048596,-0.001676,-0.000064,0.006513,-0.000408,0.026386,0.000122
5477.648000,-0.122992,0.109990,0.258218,-2.179728,-2.211880,0.048767,-0.003149,-0.000058,0.001688,-0.000113,0.002165,0.000060
5477.656000,-0.123014,0.109992,0.258256,-2.179625,-2.211800,0.048937,-0.004127,-0.000117,0.010410,-0.000747,0.047518,0.000172
5477.664000,-0.123032,0.109988,0.258280,-2.179550,-2.211779,0.049017,-0.003088,-0.000053,0.000536,-0.000006,-0.005859,0.000055
5477.672000,-0.123048,0.109992,0.258315,-2.179534,-2.211685,0.049186,-0.003801,-0.000115,0.010084,-0.000663,0.041320,0.000189
5477.680000,-0.123076,0.109982,0.258353,-2.179356,-2.211690,0.049424,-0.003146,-0.000053,0.000696,-0.000050,-0.002407,0.000045
5477.688000,-0.123090,0.109981,0.258360,-2.179392,-2.211703,0.049399,-0.002253,-0.000068,0.005242,-0.000302,0.017230,0.000119
5477.696000,-0.123108,0.109986,0.258390,-2.179307,-2.211535,0.049569,-0.003144,-0.000058,0.002826,-0.000264,0.014067,0.000045
